iso_639_3,cv_locale,source,category,hours,validated_hours_only,clips,speakers,license_tier,license,corpus_version,source_type,who_transcribed,transcript_exists
aat,aat,common_voice_spontaneous,transcribed,0.0,0.0,334,5,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
aat,aat,common_voice_spontaneous,untranscribed,2.3,,334,5,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
abb,abb,common_voice_scripted,transcribed,11.24,11.19,7922,22,A,CC0-1.0,26.0,website text,human volunteer,True
abk,ab,common_voice_scripted,transcribed,242.62,207.81,158612,1302,A,CC0-1.0,26.0,website text,human volunteer,True
abq,abq,common_voice_scripted,transcribed,16.23,4.99,8215,21,A,CC0-1.0,26.0,website text,human volunteer,True
ady,ady,common_voice_scripted,transcribed,94.26,78.67,63508,168,A,CC0-1.0,26.0,website text,human volunteer,True
ady,ady,common_voice_spontaneous,transcribed,4.67,4.67,836,27,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
ady,ady,common_voice_spontaneous,untranscribed,1.04,,836,27,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
afr,af,common_voice_scripted,transcribed,1.65,0.76,980,67,A,CC0-1.0,26.0,website text,human volunteer,True
ajg,ajg,common_voice_scripted,transcribed,12.87,12.71,19398,23,A,CC0-1.0,26.0,website text,human volunteer,True
aln,aln,common_voice_spontaneous,transcribed,10.49,10.49,1654,14,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
aln,aln,common_voice_spontaneous,untranscribed,0.3699999999999992,,1654,14,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
amh,am,common_voice_scripted,transcribed,2.92,1.92,1658,51,A,CC0-1.0,26.0,website text,human volunteer,True
amh,am,common_voice_spontaneous,transcribed,0.0,0.0,1,1,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
amh,am,common_voice_spontaneous,untranscribed,0.0,,1,1,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
ara,ar,common_voice_scripted,transcribed,157.46,92.0,136185,1669,A,CC0-1.0,26.0,website text,human volunteer,True
arg,an,common_voice_scripted,transcribed,17.83,16.86,14040,53,A,CC0-1.0,26.0,website text,human volunteer,True
arg,an,common_voice_spontaneous,transcribed,0.21,0.21,240,3,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
arg,an,common_voice_spontaneous,untranscribed,1.6400000000000001,,240,3,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
asm,as,common_voice_scripted,transcribed,7.68,3.0,4729,51,A,CC0-1.0,26.0,website text,human volunteer,True
ast,ast,common_voice_scripted,transcribed,2.1,1.05,1720,34,A,CC0-1.0,26.0,website text,human volunteer,True
aze,az,common_voice_scripted,transcribed,1.56,0.65,1036,48,A,CC0-1.0,26.0,website text,human volunteer,True
bag,bag,common_voice_scripted,transcribed,11.12,11.0,7106,14,A,CC0-1.0,26.0,website text,human volunteer,True
bak,ba,common_voice_scripted,transcribed,268.71,258.81,218518,930,A,CC0-1.0,26.0,website text,human volunteer,True
bak,ba,common_voice_spontaneous,transcribed,0.01,0.01,127,4,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
bak,ba,common_voice_spontaneous,untranscribed,0.24,,127,4,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
bas,bas,common_voice_scripted,transcribed,13.56,12.09,12496,57,A,CC0-1.0,26.0,website text,human volunteer,True
bas,bas,common_voice_spontaneous,transcribed,5.06,5.06,773,11,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
bas,bas,common_voice_spontaneous,untranscribed,0.3100000000000005,,773,11,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
bax,bax,common_voice_scripted,transcribed,11.83,10.62,8668,13,A,CC0-1.0,26.0,website text,human volunteer,True
bba,bba,common_voice_scripted,transcribed,14.38,10.57,8531,14,A,CC0-1.0,26.0,website text,human volunteer,True
bbj,bbj,common_voice_scripted,transcribed,12.75,12.29,7514,31,A,CC0-1.0,26.0,website text,human volunteer,True
bbl,bbl,common_voice_scripted,transcribed,12.16,11.17,4982,23,A,CC0-1.0,26.0,website text,human volunteer,True
bce,bce,common_voice_scripted,transcribed,10.05,10.01,6141,14,A,CC0-1.0,26.0,website text,human volunteer,True
bci,bci,common_voice_scripted,transcribed,14.35,11.26,7167,18,A,CC0-1.0,26.0,website text,human volunteer,True
beb,beb,common_voice_scripted,transcribed,11.09,10.01,7471,33,A,CC0-1.0,26.0,website text,human volunteer,True
bel,be,common_voice_scripted,transcribed,1892.71,1818.27,1421375,8621,A,CC0-1.0,26.0,website text,human volunteer,True
ben,bn,common_voice_scripted,transcribed,1277.5,54.32,1052178,23010,A,CC0-1.0,26.0,website text,human volunteer,True
bew,bew,common_voice_spontaneous,transcribed,9.78,9.78,1336,21,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
bew,bew,common_voice_spontaneous,untranscribed,0.7100000000000009,,1336,21,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
bfd,bfd,common_voice_scripted,transcribed,11.18,10.05,7178,36,A,CC0-1.0,26.0,website text,human volunteer,True
bft,bft,common_voice_scripted,transcribed,17.36,16.56,10547,155,A,CC0-1.0,26.0,website text,human volunteer,True
bgp,bgp,common_voice_scripted,transcribed,12.81,11.5,8512,29,A,CC0-1.0,26.0,website text,human volunteer,True
bkh,bkh,common_voice_scripted,transcribed,13.29,9.98,7480,13,A,CC0-1.0,26.0,website text,human volunteer,True
bkm,bkm,common_voice_scripted,transcribed,11.74,11.41,7796,27,A,CC0-1.0,26.0,website text,human volunteer,True
bnm,bnm,common_voice_scripted,transcribed,15.82,15.3,7943,21,A,CC0-1.0,26.0,website text,human volunteer,True
bnn,bnn,common_voice_scripted,transcribed,11.64,10.29,8235,20,A,CC0-1.0,26.0,website text,human volunteer,True
bre,br,common_voice_scripted,transcribed,37.08,34.2,40435,294,A,CC0-1.0,26.0,website text,human volunteer,True
bre,br,common_voice_spontaneous,transcribed,0.22,0.22,305,20,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
bre,br,common_voice_spontaneous,untranscribed,0.8700000000000001,,305,20,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
brh,brh,common_voice_scripted,transcribed,9.93,9.91,5095,18,A,CC0-1.0,26.0,website text,human volunteer,True
bri,bri,common_voice_scripted,transcribed,10.8,10.41,9175,15,A,CC0-1.0,26.0,website text,human volunteer,True
brx,brx,common_voice_spontaneous,transcribed,0.02,0.02,69,1,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
brx,brx,common_voice_spontaneous,untranscribed,0.039999999999999994,,69,1,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
bsh,bsh,common_voice_scripted,transcribed,10.0,9.89,6844,14,A,CC0-1.0,26.0,website text,human volunteer,True
bsk,bsk,common_voice_scripted,transcribed,11.01,10.2,9302,27,A,CC0-1.0,26.0,website text,human volunteer,True
bsy,bsy,common_voice_spontaneous,transcribed,0.0,0.0,1741,25,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
bsy,bsy,common_voice_spontaneous,untranscribed,10.8,,1741,25,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
btv,btv,common_voice_scripted,transcribed,10.46,10.26,9283,16,A,CC0-1.0,26.0,website text,human volunteer,True
bul,bg,common_voice_scripted,transcribed,21.71,17.49,14290,152,A,CC0-1.0,26.0,website text,human volunteer,True
bum,bum,common_voice_scripted,transcribed,10.29,10.05,7957,22,A,CC0-1.0,26.0,website text,human volunteer,True
bxk,bxk,common_voice_spontaneous,transcribed,11.03,11.03,3214,27,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
bxk,bxk,common_voice_spontaneous,untranscribed,4.84,,3214,27,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
byv,byv,common_voice_scripted,transcribed,13.24,13.24,7719,96,A,CC0-1.0,26.0,website text,human volunteer,True
cat,ca,common_voice_scripted,transcribed,3918.14,3379.83,2716606,36956,A,CC0-1.0,26.0,website text,human volunteer,True
cat,ca,common_voice_spontaneous,transcribed,0.52,0.52,160,19,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
cat,ca,common_voice_spontaneous,untranscribed,0.18999999999999995,,160,19,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
cdo,cdo,common_voice_spontaneous,transcribed,0.91,0.91,1034,32,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
cdo,cdo,common_voice_spontaneous,untranscribed,8.85,,1034,32,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
ces,cs,common_voice_scripted,transcribed,269.0,81.52,217094,1142,A,CC0-1.0,26.0,website text,human volunteer,True
cgg,cgg,common_voice_spontaneous,transcribed,10.18,10.18,3085,27,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
cgg,cgg,common_voice_spontaneous,untranscribed,1.5099999999999998,,3085,27,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
chv,cv,common_voice_scripted,transcribed,28.64,24.52,20456,122,A,CC0-1.0,26.0,website text,human volunteer,True
cjk,cjk,common_voice_scripted,transcribed,13.89,11.96,8519,45,A,CC0-1.0,26.0,website text,human volunteer,True
ckb,ckb,common_voice_scripted,transcribed,194.64,137.9,170972,2038,A,CC0-1.0,26.0,website text,human volunteer,True
cnh,cnh,common_voice_scripted,transcribed,6.04,2.4,6188,301,A,CC0-1.0,26.0,website text,human volunteer,True
cor,kw,common_voice_scripted,transcribed,12.89,12.37,11264,10,A,CC0-1.0,26.0,website text,human volunteer,True
cpx,cpx,common_voice_spontaneous,transcribed,0.03,0.03,2007,29,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
cpx,cpx,common_voice_spontaneous,untranscribed,10.63,,2007,29,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
cpy,cpy,common_voice_scripted,transcribed,10.15,10.02,8272,15,A,CC0-1.0,26.0,website text,human volunteer,True
cut,cut,common_voice_scripted,transcribed,10.34,10.09,5616,15,A,CC0-1.0,26.0,website text,human volunteer,True
cux,cux,common_voice_scripted,transcribed,10.64,10.26,9350,11,A,CC0-1.0,26.0,website text,human volunteer,True
cym,cy,common_voice_scripted,transcribed,158.66,124.15,116157,1936,A,CC0-1.0,26.0,website text,human volunteer,True
cym,cy,common_voice_spontaneous,transcribed,0.0,0.0,17,4,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
cym,cy,common_voice_spontaneous,untranscribed,0.21,,17,4,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
dag,dag,common_voice_scripted,transcribed,27.55,16.28,23096,69,A,CC0-1.0,26.0,website text,human volunteer,True
dan,da,common_voice_scripted,transcribed,16.2,13.0,14327,302,A,CC0-1.0,26.0,website text,human volunteer,True
dan,da,common_voice_spontaneous,transcribed,0.0,0.0,2,2,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
dan,da,common_voice_spontaneous,untranscribed,0.0,,2,2,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
dar,dar,common_voice_scripted,transcribed,19.91,15.34,12616,44,A,CC0-1.0,26.0,website text,human volunteer,True
dav,dav,common_voice_scripted,transcribed,55.95,9.31,49630,24,A,CC0-1.0,26.0,website text,human volunteer,True
deu,de,common_voice_scripted,transcribed,1489.78,1392.36,1018452,20529,A,CC0-1.0,26.0,website text,human volunteer,True
deu,de,common_voice_spontaneous,transcribed,0.2,0.2,319,28,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
deu,de,common_voice_spontaneous,untranscribed,1.01,,319,28,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
div,dv,common_voice_scripted,transcribed,61.65,37.84,43351,393,A,CC0-1.0,26.0,website text,human volunteer,True
dmk,dmk,common_voice_scripted,transcribed,10.31,10.18,10779,10,A,CC0-1.0,26.0,website text,human volunteer,True
dml,dml,common_voice_scripted,transcribed,10.83,10.22,6482,5,A,CC0-1.0,26.0,website text,human volunteer,True
dru,dru,common_voice_scripted,transcribed,10.55,10.36,6693,20,A,CC0-1.0,26.0,website text,human volunteer,True
dsb,dsb,common_voice_scripted,transcribed,0.03,0.0,20,3,A,CC0-1.0,26.0,website text,human volunteer,True
dua,dua,common_voice_scripted,transcribed,14.44,12.52,8095,13,A,CC0-1.0,26.0,website text,human volunteer,True
dyu,dyu,common_voice_scripted,transcribed,0.51,0.37,295,35,A,CC0-1.0,26.0,website text,human volunteer,True
ebr,ebr,common_voice_scripted,transcribed,2.33,1.78,2019,7,A,CC0-1.0,26.0,website text,human volunteer,True
eko,eko,common_voice_scripted,transcribed,8.43,8.27,4026,7,A,CC0-1.0,26.0,website text,human volunteer,True
ell,el,common_voice_scripted,transcribed,33.89,20.2,29402,454,A,CC0-1.0,26.0,website text,human volunteer,True
eng,en,common_voice_scripted,transcribed,3780.95,2784.88,2583051,100172,A,CC0-1.0,26.0,website text,human volunteer,True
eng,en,common_voice_spontaneous,transcribed,7.81,7.81,5679,609,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
eng,en,common_voice_spontaneous,untranscribed,9.77,,5679,609,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
epo,eo,common_voice_scripted,transcribed,1949.85,1443.34,1154176,1902,A,CC0-1.0,26.0,website text,human volunteer,True
epo,eo,common_voice_spontaneous,transcribed,0.05,0.05,97,4,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
epo,eo,common_voice_spontaneous,untranscribed,0.7799999999999999,,97,4,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
est,et,common_voice_scripted,transcribed,66.97,51.69,35898,1069,A,CC0-1.0,26.0,website text,human volunteer,True
esu,esu,common_voice_scripted,transcribed,7.62,7.62,7224,4,A,CC0-1.0,26.0,website text,human volunteer,True
eto,eto,common_voice_scripted,transcribed,9.9,9.45,11063,26,A,CC0-1.0,26.0,website text,human volunteer,True
eus,eu,common_voice_scripted,transcribed,702.21,472.66,464843,11052,A,CC0-1.0,26.0,website text,human volunteer,True
ewo,ewo,common_voice_scripted,transcribed,14.36,13.61,7991,31,A,CC0-1.0,26.0,website text,human volunteer,True
fan,fan,common_voice_scripted,transcribed,9.87,9.41,8078,43,A,CC0-1.0,26.0,website text,human volunteer,True
fas,fa,common_voice_scripted,transcribed,430.86,373.24,394397,4660,A,CC0-1.0,26.0,website text,human volunteer,True
fin,fi,common_voice_scripted,transcribed,23.02,15.76,17905,251,A,CC0-1.0,26.0,website text,human volunteer,True
fmp,fmp,common_voice_scripted,transcribed,12.23,11.38,5599,32,A,CC0-1.0,26.0,website text,human volunteer,True
fra,fr,common_voice_scripted,transcribed,1216.01,1102.27,868857,21082,A,CC0-1.0,26.0,website text,human volunteer,True
fra,fr,common_voice_spontaneous,transcribed,0.62,0.62,667,49,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
fra,fr,common_voice_spontaneous,untranscribed,1.52,,667,49,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
