cv_locale,iso_639_3,reason
aa,aar,locale_not_in_either_release
ace,ace,locale_not_in_either_release
aii,aii,locale_not_in_either_release
arn,arn,locale_not_in_either_release
azz,azz,locale_not_in_either_release
bal,bal,locale_not_in_either_release
bm,bam,locale_not_in_either_release
bfq,bfq,locale_not_in_either_release
bin,bin,locale_not_in_either_release
bo,bod,locale_not_in_either_release
bs,bos,locale_not_in_either_release
bxr,bxr,locale_not_in_either_release
cak,cak,locale_not_in_either_release
ce,che,locale_not_in_either_release
co,cos,locale_not_in_either_release
crh,crh,locale_not_in_either_release
din,din,locale_not_in_either_release
dz,dzo,locale_not_in_either_release
ee,ewe,locale_not_in_either_release
fo,fao,locale_not_in_either_release
fuf,fuf,locale_not_in_either_release
ff,ful,locale_not_in_either_release
gaa,gaa,locale_not_in_either_release
gcf,gcf,locale_not_in_either_release
glk,glk,locale_not_in_either_release
gom,gom,locale_not_in_either_release
gos,gos,locale_not_in_either_release
guc,guc,locale_not_in_either_release
gu-IN,guj,locale_not_in_either_release
hak,hak,locale_not_in_either_release
hil,hil,locale_not_in_either_release
hrx,hrx,locale_not_in_either_release
iba,iba,locale_not_in_either_release
ie,ile,locale_not_in_either_release
izh,izh,locale_not_in_either_release
jam,jam,locale_not_in_either_release
jbo,jbo,locale_not_in_either_release
kaa,kaa,locale_not_in_either_release
kl,kal,locale_not_in_either_release
kam,kam,locale_not_in_either_release
kn,kan,locale_not_in_either_release
ks,kas,locale_not_in_either_release
ki,kik,locale_not_in_either_release
knn,knn,locale_not_in_either_release
kpv,kpv,locale_not_in_either_release
krc,krc,locale_not_in_either_release
leu,leu,locale_not_in_either_release
ln,lin,locale_not_in_either_release
lld,lld,locale_not_in_either_release
lrl,lrl,locale_not_in_either_release
lb,ltz,locale_not_in_either_release
mai,mai,locale_not_in_either_release
mbf,mbf,locale_not_in_either_release
mfe,mfe,locale_not_in_either_release
mg,mlg,locale_not_in_either_release
mni,mni,locale_not_in_either_release
mos,mos,locale_not_in_either_release
mqh,mqh,locale_not_in_either_release
mrh,mrh,locale_not_in_either_release
mui,mui,locale_not_in_either_release
my,mya,locale_not_in_either_release
nd,nde,locale_not_in_either_release
new,new,locale_not_in_either_release
nhe,nhe,locale_not_in_either_release
nia,nia,locale_not_in_either_release
nqo,nqo,locale_not_in_either_release
ny,nya,locale_not_in_either_release
nyn,nyn,locale_not_in_either_release
pap,pap,locale_not_in_either_release
pap-AW,pap,locale_not_in_either_release
pau,pau,locale_not_in_either_release
pcd,pcd,locale_not_in_either_release
pez,pez,locale_not_in_either_release
quc,quc,locale_not_in_either_release
qug,qug,locale_not_in_either_release
qxq,qxq,locale_not_in_either_release
rif,rif,locale_not_in_either_release
rn,run,locale_not_in_either_release
sg,sag,locale_not_in_either_release
sba,sba,locale_not_in_either_release
scn,scn,locale_not_in_either_release
sdh,sdh,locale_not_in_either_release
shn,shn,locale_not_in_either_release
snk,snk,locale_not_in_either_release
so,som,locale_not_in_either_release
syr,syr,locale_not_in_either_release
ty,tah,locale_not_in_either_release
teg,teg,locale_not_in_either_release
tl,tgl,locale_not_in_either_release
tiv,tiv,locale_not_in_either_release
tum,tum,locale_not_in_either_release
tyv,tyv,locale_not_in_either_release
uby,uby,locale_not_in_either_release
udm,udm,locale_not_in_either_release
usp,usp,locale_not_in_either_release
vec,vec,locale_not_in_either_release
vmw,vmw,locale_not_in_either_release
wep,wep,locale_not_in_either_release
wo,wol,locale_not_in_either_release
xdq,xdq,locale_not_in_either_release
xsm,xsm,locale_not_in_either_release
