Iso_639_3,num_recordings,num_missing_duration,total_seconds,total_hours,Category,License,Who_transcribed,Transcript_exists
abl,1059,0,1347.01,0.3742,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
abr,1,0,0.98,0.0003,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
abu,11,0,11.53,0.0032,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
ace,429,0,480.52,0.1335,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
acm,1,0,0.94,0.0003,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
aen,1211,0,7502.84,2.0841,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
afr,2961,0,3512.61,0.9757,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
aho,49,0,54.94,0.0153,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
amh,218,0,218.11,0.0606,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
ami,36,0,83.22,0.0231,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
ann,21,0,29.21,0.0081,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
anp,1,0,0.9,0.0002,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
any,40,0,40.27,0.0112,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
apc,922,0,1957.92,0.5439,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
apd,4,0,4.79,0.0013,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
ara,13726,0,19748.57,5.4857,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
arq,623,0,667.4,0.1854,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
ary,1857,0,1964.78,0.5458,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
arz,995,0,1107.07,0.3075,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
asm,1687,0,2363.48,0.6565,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
ast,7827,0,8273.41,2.2982,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
atj,630,0,894.69,0.2485,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
aze,7554,0,8280.81,2.3002,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
bak,1,0,0.84,0.0002,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
bam,57,0,65.49,0.0182,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
ban,1518,0,1778.22,0.4939,transcribed,CC BY-SA 4.0,no transcription – pre-set word,TRUE
