iso_639_3,vp_code,source,category,hours,license_tier,license,source_type,who_transcribed,transcript_exists
bul,bg,voxpopuli,untranscribed,17600.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
ces,cs,voxpopuli,transcribed,62.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,True
ces,cs,voxpopuli,untranscribed,18700.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
dan,da,voxpopuli,untranscribed,13600.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
deu,de,voxpopuli,transcribed,282.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,True
deu,de,voxpopuli,untranscribed,23200.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
ell,el,voxpopuli,untranscribed,17700.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
eng,en,voxpopuli,transcribed,543.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,True
eng,en,voxpopuli,untranscribed,24100.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
est,et,voxpopuli,transcribed,3.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,True
est,et,voxpopuli,untranscribed,10600.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
fin,fi,voxpopuli,transcribed,27.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,True
fin,fi,voxpopuli,untranscribed,14200.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
fra,fr,voxpopuli,transcribed,211.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,True
fra,fr,voxpopuli,untranscribed,22800.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
hrv,hr,voxpopuli,transcribed,43.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,True
hrv,hr,voxpopuli,untranscribed,8100.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
hun,hu,voxpopuli,transcribed,63.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,True
hun,hu,voxpopuli,untranscribed,17700.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
ita,it,voxpopuli,transcribed,91.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,True
ita,it,voxpopuli,untranscribed,21900.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
lav,lv,voxpopuli,untranscribed,13100.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
lit,lt,voxpopuli,transcribed,2.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,True
lit,lt,voxpopuli,untranscribed,14400.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
mlt,mt,voxpopuli,untranscribed,9100.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
nld,nl,voxpopuli,transcribed,53.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,True
nld,nl,voxpopuli,untranscribed,19000.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
pol,pl,voxpopuli,transcribed,111.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,True
pol,pl,voxpopuli,untranscribed,21200.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
por,pt,voxpopuli,untranscribed,17500.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
ron,ro,voxpopuli,transcribed,89.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,True
ron,ro,voxpopuli,untranscribed,17900.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
slk,sk,voxpopuli,transcribed,35.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,True
slk,sk,voxpopuli,untranscribed,12100.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
slv,sl,voxpopuli,transcribed,10.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,True
slv,sl,voxpopuli,untranscribed,11300.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
spa,es,voxpopuli,transcribed,166.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,True
spa,es,voxpopuli,untranscribed,21400.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
swe,sv,voxpopuli,untranscribed,16300.0,A,CC0-1.0,european parliament recording,european parliament human volunteers,False
