language,glottocode,iso_639_3,dictionaries,total_entries,total_words,entries_with_audio,audio_hours,video_hours
Johari / Shauki,rang1266,rgk,2,35610,75797,20,0.01,0.00
Southern Sámi,sout2674,sma,1,14880,15926,0,0.00,0.00
Gutob,bodo1267,gbj,1,13338,30556,13114,6.22,0.00
Torwali English Urdu Dictionary,torw1241,trw,1,9908,16567,6,0.01,0.00
Hazaragi Language,haza1239,haz,1,8763,19940,596,0.39,0.00
Kumyk,kumy1244,kum,1,7992,10534,0,0.00,0.00
Karaim,kara1464,kdr,1,7987,9193,0,0.00,0.00
'Iipay Aa,ipai1240,dih,1,7370,9362,4641,2.49,0.00
Kihunde,hund1239,hke,1,6652,14458,503,0.28,0.10
Nukuoro,nuku1260,nkr,1,6613,10892,1025,0.46,0.00
GtaɁ,gata1239,gaq,1,6378,15691,6275,2.78,0.00
Tsotsil,tzot1259,tzo,1,6290,25070,22,0.02,0.00
Remo,bond1245,bfw,1,5138,10584,2286,1.23,0.00
Popoloca,popo1294,pls,1,4526,16794,0,0.00,0.00
Apatani,apat1240,apa,1,4157,5647,4103,0.96,0.00
Matukar,matu1261,mjk,1,4150,11450,3033,1.46,0.00
Nasa yuwe (Páez),paez1247,pbb,1,3934,6896,1002,1.07,0.00
Werikyana Tiriyó Prtgês Inglês,kaxu1237,kbb,1,3766,25305,3628,2.09,0.03
Boie'nen (Old Buhi Language),buhi1243,639-3,1,3256,5176,58,0.04,0.00
Sengwer,seng1286,,1,3105,3287,2618,3.12,0.00
Wancho,wanc1238,nnp,1,3088,13021,10,0.01,0.01
Ho,hoo1248,hoc,1,3029,4660,3008,0.83,0.00
Birhor,birh1242,biy,1,2746,4380,2137,0.55,0.00
Manchu,manc1252,mnc,1,2660,3034,2650,4.08,0.00
Kapingamarangi,kapi1249,kpg,1,2476,3398,802,0.33,0.00
Kihehe,Hehe1240,heh,1,2404,3559,2279,1.33,0.05
Babanki (Kejom),baba1266,bbk,1,2250,3137,1712,2.18,0.00
Owé (a dialect of Yoruba),owee1241,yor,1,2189,10995,6,0.01,0.00
San Sebastián del Monte Mixtec (Tò’on Ndà’vi) / Tu'un Javi (Ixpantepec Nieves Mixtec),sila1250,mks,2,1965,2460,627,1.15,0.00
Chothe,chot1239,nct,1,1887,2195,0,0.00,0.00
Poqomchi' Tusq’orik,poqo1254,poh,1,1845,2450,1845,0.93,0.00
Bum,bumm1238,bmv,1,1819,1968,1,0.00,0.00
Taivoan,taiv1237,tvx,1,1733,2154,0,0.00,0.00
Olùkùmi,uluk1257,ulb,1,1682,1907,34,0.01,0.00
Tutelo-Saponi Monacan,tute1247,tta,1,1682,1981,1501,1.18,0.00
Garifuna,gari1256,cab,1,1594,8903,1,0.01,0.00
Nawatl,azte1234,nhe,1,1490,8649,0,0.00,0.00
Sora,sora1254,srb,1,1417,1999,1292,0.49,0.02
