iso_639_3,iso_639_2b,iso_639_2t,iso_639_1,Scope,Language_Type,language_name,is_macrolanguage,is_living,fineweb2_labels,fineweb2_match_status,hf_tag,hf_match_status,cv_locale,cv_match_status
aaa,,,,I,L,Ghotuo,False,True,,no_match,aaa,exact_iso3,,no_match
aab,,,,I,L,Alumu-Tesu,False,True,,no_match,aab,exact_iso3,,no_match
aac,,,,I,L,Ari,False,True,,no_match,aac,exact_iso3,,no_match
aad,,,,I,L,Amal,False,True,,no_match,aad,exact_iso3,,no_match
aae,,,,I,L,Arbëreshë Albanian,False,True,,no_match,aae,exact_iso3,,no_match
aaf,,,,I,L,Aranadan,False,True,,no_match,aaf,exact_iso3,,no_match
aag,,,,I,L,Ambrak,False,True,,no_match,aag,exact_iso3,,no_match
aah,,,,I,L,Abu' Arapesh,False,True,,no_match,aah,exact_iso3,,no_match
aai,,,,I,L,Arifama-Miniafia,False,True,aai_Latn,exact,aai,exact_iso3,,no_match
aak,,,,I,L,Ankave,False,True,aak_Latn,exact,aak,exact_iso3,,no_match
aal,,,,I,L,Afade,False,True,,no_match,aal,exact_iso3,,no_match
aan,,,,I,L,Anambé,False,True,,no_match,aan,exact_iso3,,no_match
aao,,,,I,L,Algerian Saharan Arabic,False,True,,no_match,aao,exact_iso3,,no_match
aap,,,,I,L,Pará Arára,False,True,,no_match,aap,exact_iso3,,no_match
aaq,,,,I,E,Eastern Abnaki,False,False,,no_match,aaq,exact_iso3,,no_match
aar,aar,aar,aa,I,L,Afar,False,True,,no_match,aar;aa,matched_multiple:iso3+iso1,aa,matched_via_bcp47
aas,,,,I,L,Aasáx,False,True,,no_match,aas,exact_iso3,,no_match
aat,,,,I,L,Arvanitika Albanian,False,True,,no_match,aat,exact_iso3,aat,exact_iso3
aau,,,,I,L,Abau,False,True,aau_Latn,exact,aau,exact_iso3,,no_match
aaw,,,,I,L,Solong,False,True,,no_match,aaw,exact_iso3,,no_match
aax,,,,I,L,Mandobo Atas,False,True,,no_match,aax,exact_iso3,,no_match
aaz,,,,I,L,Amarasi,False,True,aaz_Latn,exact,aaz,exact_iso3,,no_match
aba,,,,I,L,Abé,False,True,aba_Latn,exact,aba,exact_iso3,,no_match
abb,,,,I,L,Bankon,False,True,,no_match,abb,exact_iso3,abb,exact_iso3
abc,,,,I,L,Ambala Ayta,False,True,,no_match,abc,exact_iso3,,no_match
abd,,,,I,L,Manide,False,True,,no_match,abd,exact_iso3,,no_match
abe,,,,I,L,Western Abnaki,False,True,,no_match,abe,exact_iso3,,no_match
