hf_orphan_tag,has_macrolanguage_family,macrolanguage_code
code,False,
multilingual,False,
ber,False,
bh,True,bho
nan,False,
nah,False,
eml,False,
in,True,id
ajp,False,
rna,False,
va,False,
iw,True,he
map,False,
jp,False,
cn,False,
tpw,False,
kzj,True,dtp
gr,False,
oto,False,
btk,False,
mo,True,ro
cz,False,
plj,False,
ns,False,
py,False,
od,False,
art,False,
ma,False,
me,False,
zua,False,
zht,False,
daf,True,dnj
bnt,False,
roa,False,
qaa,False,
ji,True,yi
xx,False,
ua,False,
bp,False,
du,False,
np,False,
son,False,
kar,False,
sgn,False,
us,False,
by,False,
fu,False,
pr,False,
pu,False,
sai,False,
vn,False,
aus,False,
cau,False,
fiu,False,
qaf,False,
myn,False,
bih,True,bho
dog,False,
cpp,False,
xss,False,
nom,False,
szd,False,
yol,False,
pmk,False,
zkb,False,
bd,False,
eg,False,
gb,False,
lk,False,
pk,False,
qt,False,
cdc,False,
dmn,False,
ngf,False,
ngo,False,
nic,False,
omq,False,
paa,False,
poz,False,
pqe,False,
pqw,False,
tai,False,
day,False,
fst,False,
smi,False,
go,False,
esp,False,
pat,True,kxr
sql,False,
crp,False,
iro,False,
cif,False,
at,False,
cpe,False,
dk,False,
iap,False,
qpv,False,
rpa,False,
rs,False,
sf,False,
nte,False,
tmk,False,
prp,False,
kgm,False,
slq,False,
dek,False,
ksa,False,
oy,False,
po,False,
pra,False,
gsc,False,
cpf,False,
ijo,False,
pb,False,
rj,False,
bat,False,
bu,False,
qfn,False,
qpm,False,
qte,False,
qti,False,
qtd,False,
zhy,False,
mdo,False,
kz,False,
enp,False,
hn,False,
rpr,False,
ry,False,
vp,False,
sap,True,aqt
leg,True,enl
pg,False,
jap,False,
ypk,False,
ac,False,
hsi,False,
zn,False,
ol,False,
uy,False,
iga,False,
lsf,False,
lgp,False,
pjm,False,
php,False,
emj,False,
sul,True,sgd
sp,False,
zol,False,
ebi,False,
idm,False,
usl,False,
edo,False,
qx,False,
