iso_639_3,language_name,is_macrolanguage,matched_fineweb2,matched_huggingface,matched_commonvoice,num_sources_matched,any_match_via_iso639_2,matched_sources_label
abk,Abkhazian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
abq,Abaza,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
ace,Achinese,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
ady,Adyghe,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
afr,Afrikaans,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
aii,Assyrian Neo-Aramaic,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
ajg,Aja (Benin),False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
aln,Gheg Albanian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
amh,Amharic,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
arg,Aragonese,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
arn,Mapudungun,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
asm,Assamese,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
ast,Asturian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
azz,Highland Puebla Nahuatl,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
bak,Bashkir,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
bam,Bambara,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
bas,Basa (Cameroon),False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
bba,Baatonum,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
bbj,Ghomálá',False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
bci,Baoulé,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
bel,Belarusian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
ben,Bengali,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
bew,Betawi,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
bfd,Bafut,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
bin,Bini,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
bod,Tibetan,False,True,True,True,3,True,FineWeb-2+HuggingFace+CommonVoice
