iso_639_3,language_name,is_macrolanguage,matched_fineweb2,matched_huggingface,matched_commonvoice,num_sources_matched,any_match_via_iso639_2,matched_sources_label
aaa,Ghotuo,False,False,True,False,1,False,HuggingFace
aab,Alumu-Tesu,False,False,True,False,1,False,HuggingFace
aac,Ari,False,False,True,False,1,False,HuggingFace
aad,Amal,False,False,True,False,1,False,HuggingFace
aae,Arbëreshë Albanian,False,False,True,False,1,False,HuggingFace
aaf,Aranadan,False,False,True,False,1,False,HuggingFace
aag,Ambrak,False,False,True,False,1,False,HuggingFace
aah,Abu' Arapesh,False,False,True,False,1,False,HuggingFace
aai,Arifama-Miniafia,False,True,True,False,2,False,FineWeb-2+HuggingFace
aak,Ankave,False,True,True,False,2,False,FineWeb-2+HuggingFace
aal,Afade,False,False,True,False,1,False,HuggingFace
aan,Anambé,False,False,True,False,1,False,HuggingFace
aao,Algerian Saharan Arabic,False,False,True,False,1,False,HuggingFace
aap,Pará Arára,False,False,True,False,1,False,HuggingFace
aaq,Eastern Abnaki,False,False,True,False,1,False,HuggingFace
aar,Afar,False,False,True,True,2,False,HuggingFace+CommonVoice
aas,Aasáx,False,False,True,False,1,False,HuggingFace
aat,Arvanitika Albanian,False,False,True,True,2,False,HuggingFace+CommonVoice
aau,Abau,False,True,True,False,2,False,FineWeb-2+HuggingFace
aaw,Solong,False,False,True,False,1,False,HuggingFace
aax,Mandobo Atas,False,False,True,False,1,False,HuggingFace
aaz,Amarasi,False,True,True,False,2,False,FineWeb-2+HuggingFace
aba,Abé,False,True,True,False,2,False,FineWeb-2+HuggingFace
abb,Bankon,False,False,True,True,2,False,HuggingFace+CommonVoice
abc,Ambala Ayta,False,False,True,False,1,False,HuggingFace
abd,Manide,False,False,True,False,1,False,HuggingFace
abe,Western Abnaki,False,False,True,False,1,False,HuggingFace
abf,Abai Sungai,False,False,True,False,1,False,HuggingFace
abg,Abaga,False,False,True,False,1,False,HuggingFace
abh,Tajiki Arabic,False,False,True,False,1,False,HuggingFace
abi,Abidji,False,True,True,False,2,False,FineWeb-2+HuggingFace
abj,Aka-Bea,False,False,True,False,1,False,HuggingFace
abk,Abkhazian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
abl,Lampung Nyo,False,False,True,False,1,False,HuggingFace
abm,Abanyom,False,False,True,False,1,False,HuggingFace
abn,Abua,False,True,True,False,2,False,FineWeb-2+HuggingFace
abo,Abon,False,False,True,False,1,False,HuggingFace
abp,Abellen Ayta,False,False,True,False,1,False,HuggingFace
abq,Abaza,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
abr,Abron,False,False,True,False,1,False,HuggingFace
