language_iso_639_3,total_approx_bytes_all_crawls,num_crawls_present_in
eng,1.2055321376617866e+16,74
rus,1790825715746491.8,74
deu,1520379266873703.0,74
zho,1452966887251570.5,74
jpn,1359492197170923.8,74
fra,1219458619899283.2,74
spa,1202839549927385.5,74
ita,654297650988718.1,74
por,567365818703720.5,74
nld,496827120429141.56,74
pol,475342813452241.8,74
ces,287854957486539.56,74
tur,279443684715956.66,74
vie,256689945369376.75,74
ind,247691385114047.62,74
kor,195354994279154.38,74
swe,190089111911925.34,74
fas,173463780664312.03,74
ara,173318878433955.72,74
ron,154043031182689.75,74
ell,149094464733394.22,74
hun,146923072148249.6,74
ukr,134354601070946.55,74
dan,122506059926295.53,74
tha,104350790399354.31,74
fin,102270465817053.75,74
slk,97894547457054.8,74
nor,88543026843866.34,74
bul,77396512865140.53,74
heb,63407306324581.664,74
srp,59606802172689.57,74
cat,58856756653856.125,74
hrv,55381376324023.695,74
lit,46396686016055.94,74
hin,44053879830074.33,74
slv,40572872999356.54,74
est,36945857099848.96,74
lat,29076213466644.6,74
ben,25598238361745.926,74
lav,25347262302082.44,74
msa,23853653373445.156,74
aze,14372242424678.068,74
bos,12851767261586.11,74
sqi,11953286133837.26,74
tam,11793418887546.816,74
kat,11001893476763.408,74
isl,10626089948361.012,74
nep,9848574139129.623,74
glg,9533519523258.027,74
eus,9024086927052.332,74
hye,8950146592971.686,74
mkd,8753819204923.719,74
urd,7421018519093.166,74
kaz,7198877008379.526,74
mal,5990858022772.455,74
mar,5884196472288.634,74
uzb,5327980582603.907,74
tel,4925984550557.302,74
bel,4496452349937.926,74
mon,4380178590298.343,74
nno,4339875027065.5303,74
kan,3395173192380.62,74
mya,3366157405844.262,74
guj,2943115361425.6445,74
cym,2870810962439.758,74
afr,2688697082607.0693,74
khm,2648146543457.4873,74
swa,2316922501960.1353,74
epo,2271382671887.1865,74
sin,2162186633339.744,74
tgl,2161961113814.889,74
kir,1988732897624.0437,74
tat,1948463235008.4746,74
gle,1702177398696.3835,74
pan,1686432765835.2576,74
kur,1668939406937.757,74
tgk,1504529651624.7314,74
ori,1259641345489.3567,74
som,1226479604200.9207,74
fao,1158192503674.5386,74
ltz,998786189642.0233,74
lao,991085448013.3765,74
mlt,966980139964.4515,74
mlg,915976554178.8142,74
pus,900132077262.776,74
oci,881997816625.4308,74
amh,825737016248.1931,74
san,795718844404.4067,74
fry,719144209441.4187,74
bre,694781414143.3665,74
war,672505787253.7944,74
hau,659059045230.3021,74
jav,610012911391.6093,74
cos,605075159013.0442,74
tuk,557709212898.0907,74
kin,552465372633.4357,74
div,550800056480.3484,74
ceb,550320961028.3014,74
bak,539051006846.3502,74
asm,533322305381.28986,74
hat,481053051331.3134,74
yid,458258049385.32196,74
gla,411215364844.3274,74
zul,392306639294.27313,74
snd,371025609370.60156,74
bod,366386666608.68976,74
uig,348418568001.4069,74
roh,342990053045.80304,74
mri,321613592803.6463,74
xho,312141597180.86414,74
sun,307045991596.26074,74
yor,256955312390.52206,74
kal,256414577927.62866,74
vol,224264727105.36234,74
tir,200835970328.0416,74
grn,194318258108.85324,74
que,180547136279.82822,74
sco,171968104232.66086,74
bih,168507333771.99817,74
ibo,164787277547.9972,74
ina,162611983427.5452,74
haw,161694302282.3091,74
sna,153798819868.34406,74
smo,145821522363.31412,74
sot,138665669988.67184,74
nya,137192911864.27774,74
orm,133145577597.38075,74
abk,125761186598.39777,74
hmn,123065745174.46709,47
glv,114943074135.83981,74
syr,110155024101.07782,74
ile,91851501777.181,74
lin,71843936134.28902,74
kha,71762758227.66223,74
sag,63678187207.05518,74
iku,60011932472.46782,74
lug,50388373754.76956,74
tsn,47086890192.98349,74
wol,40430708510.90175,74
blu,36620085708.67107,27
mfe,36043677734.50504,74
aar,35907325400.872086,74
dzo,31677346065.612026,74
aka,30856393055.859936,74
bis,29863485275.400284,74
nso,29405819130.8747,74
fij,28310123552.91832,74
ipk,27956460540.90146,74
ton,27812033771.741272,74
crs,26865205368.959522,74
run,26369945803.83058,74
aym,24804239360.86728,74
zha,22917420567.923065,74
tso,18122346782.725616,74
chr,8175995936.440543,74
ssw,3489223013.117363,74
nau,3164606363.5176487,74
ven,1588647510.153851,74
got,437932873.28935295,74
sux,0.0,74
kas,0.0,74
new,0.0,9
lif,0.0,74
