code,scripts_involved,subsets_used,num_docs_selected,candidate_pool_size,reached_pool_target,min_score_in_selection,max_score_in_selection,total_utf_8_bytes_sampled,total_tokens_sampled,total_words_sampled,bytes_per_token,tokens_per_byte,tokens_per_word_fertility,whitespace_delimited_script
abk,Cyrl,abk_Cyrl(thr=0.99),25,300,True,0.999868631362915,0.9999758005142212,277997,96010,18627,2.895500468701177,0.345363439173804,5.154345842057229,True
afr,Latn,afr_Latn(thr=0.99),25,300,True,1.000009298324585,1.0000100135803223,487479,151582,93812,3.2159425261574595,0.3109508307024508,1.6158060802455976,True
amh,Ethi,amh_Ethi(thr=0.99),25,200,True,0.9999701976776123,1.0000064373016357,119330,45076,8932,2.647306770787115,0.3777423950389676,5.046574115539633,True
asm,Beng;Latn,asm_Beng(thr=0.99),25,300,True,1.0000100135803223,1.0000100135803223,265431,67296,15255,3.944231455064194,0.2535348169580795,4.411406096361849,True
bak,Cyrl,bak_Cyrl(thr=0.95),25,200,True,1.0000089406967163,1.0000100135803223,82153,24894,6075,3.300112476902065,0.30301997492483534,4.097777777777778,True
bel,Cyrl,bel_Cyrl(thr=None),25,300,True,1.0000097751617432,1.0000100135803223,114497,27058,9170,4.231539655554735,0.23632060228652277,2.950708833151581,True
ben,Beng;Latn,ben_Beng(thr=None),25,300,True,0.9998849630355835,0.9999693632125854,131142,27938,8111,4.694036795762044,0.21303625078159552,3.4444581432622363,True
bis,Latn,bis_Latn(thr=0.99),25,300,True,1.0000100135803223,1.0000100135803223,109776,36598,22506,2.9995081698453467,0.33338799008890835,1.6261441393406202,True
bod,Tibt,bod_Tibt(thr=0.95),25,300,True,0.9962263703346252,0.999920129776001,290915,64948,2312,4.479198743610273,0.22325421514875476,28.091695501730104,True
bos,Latn,bos_Latn(thr=None),25,300,True,0.9045244455337524,0.9838785529136658,46389,15596,6612,2.9744165170556554,0.3362003923343896,2.3587416817906837,True
bre,Latn,bre_Latn(thr=0.99),25,300,True,1.0000091791152954,1.0000100135803223,32561,11807,5672,2.7577708139239436,0.3626117133994656,2.081629055007052,True
bul,Cyrl,bul_Cyrl(thr=None),25,300,True,1.0000083446502686,1.0000097751617432,168651,29162,14089,5.78324531925108,0.17291329431785166,2.0698417204911634,True
cat,Latn,cat_Latn(thr=None),25,300,True,1.0000054836273193,1.0000096559524536,58011,16192,9781,3.5826951581027666,0.2791194773405044,1.6554544525099684,True
ceb,Latn,ceb_Latn(thr=0.9),25,200,True,0.9999562501907349,1.000007152557373,109151,36002,19205,3.0318037886784066,0.32983664831288767,1.8746159854204634,True
ces,Latn,ces_Latn(thr=None),25,300,True,1.0000097751617432,1.0000100135803223,60682,17891,8642,3.3917612207255043,0.2948320754095119,2.070238370747512,True
cos,Latn,cos_Latn(thr=None),25,300,True,1.000007152557373,1.0000100135803223,31758,10691,5567,2.970535964830231,0.3366395868757478,1.9204239267109753,True
crs,Latn,crs_Latn(thr=0.99),25,100,True,1.0000097751617432,1.0000100135803223,80855,27402,15646,2.950697029413911,0.3389029744604539,1.7513741531381823,True
cym,Latn,cym_Latn(thr=0.95),25,100,True,1.0000056028366089,1.000009298324585,24325,9342,4065,2.6038321558552773,0.384049331963001,2.2981549815498155,True
dan,Latn,dan_Latn(thr=None),25,300,True,1.000007152557373,1.0000100135803223,28594,8147,4525,3.509758193199951,0.2849199132685179,1.8004419889502763,True
deu,Latn,deu_Latn(thr=None),25,300,True,0.9991508722305298,0.9998015761375427,35722,8181,5114,4.366458868109033,0.22901853199708863,1.59972624168948,True
div,Thaa,div_Thaa(thr=None),25,300,True,1.000009298324585,1.0000097751617432,91697,49182,6025,1.8644422756292953,0.5363534248666805,8.16298755186722,True
dzo,Tibt,dzo_Tibt(thr=0.99),25,300,True,1.0000091791152954,1.0000097751617432,165353,38132,3186,4.336331689919228,0.23060966538254524,11.968612680477086,True
ell,Grek,ell_Grek(thr=None),25,300,True,1.0000019073486328,1.0000090599060059,61057,13029,5270,4.686238391280988,0.21339076600553583,2.4722960151802655,True
epo,Latn,epo_Latn(thr=0.95),25,100,True,1.0000087022781372,1.0000100135803223,25450,8312,4053,3.061838306063523,0.32660117878192535,2.0508265482358747,True
eus,Latn,eus_Latn(thr=0.9),25,100,True,1.0000096559524536,1.0000100135803223,84993,28276,10753,3.005835337388598,0.33268622121821795,2.6295917418394867,True
fao,Latn,fao_Latn(thr=0.75),25,100,True,1.0000087022781372,1.0000100135803223,43717,15239,6633,2.86875779250607,0.34858293112519156,2.297452133273029,True
fas,Arab,fas_Arab(thr=None),25,300,True,0.9970099329948425,0.9994725584983826,204492,37149,23863,5.504643462811919,0.18166480840326274,1.5567615136403636,True
fij,Latn,fij_Latn(thr=0.99),25,300,True,1.0000100135803223,1.0000100135803223,213422,74977,40691,2.846499593208584,0.35130867483202294,1.8425941854464132,True
fin,Latn,fin_Latn(thr=None),25,300,True,1.0000016689300537,1.000008225440979,40322,12547,4037,3.213676576073962,0.31117008084916425,3.1080009908347783,True
fra,Latn,fra_Latn(thr=None),25,300,True,0.9993902444839478,0.9999103546142578,42304,10146,7024,4.169524935935344,0.23983547655068077,1.444476082004556,True
fry,Latn,fry_Latn(thr=0.95),25,200,True,1.0000098943710327,1.0000100135803223,33191,10884,5541,3.0495222344726205,0.3279202193365671,1.9642663779101246,True
gla,Latn,gla_Latn(thr=0.9),25,200,True,1.000006079673767,1.0000098943710327,29949,11348,4976,2.6391434614028904,0.3789108150522555,2.280546623794212,True
gle,Latn,gle_Latn(thr=None),25,300,True,1.0000090599060059,1.0000100135803223,54295,19754,8144,2.748557254226992,0.36382724007735523,2.425589390962672,True
glg,Latn,glg_Latn(thr=None),25,300,True,1.0000044107437134,1.000009298324585,45702,11609,7650,3.936773193212163,0.2540151415692968,1.517516339869281,True
glv,Latn,glv_Latn(thr=0.99),25,100,True,1.000009536743164,1.0000100135803223,17593,6687,2798,2.6309256766861076,0.3800943557096572,2.3899213724088635,True
guj,Gujr;Latn,guj_Gujr(thr=None),25,300,True,1.0000100135803223,1.0000100135803223,242710,60903,16544,3.985189563732493,0.2509290923324132,3.68127417794971,True
hat,Latn,hat_Latn(thr=None),25,300,True,1.0000097751617432,1.0000100135803223,102959,36861,21398,2.79316893193348,0.35801629774958965,1.7226376296850172,True
hau,Latn,hau_Latn(thr=None),25,300,True,1.0000089406967163,1.0000097751617432,39886,13148,7214,3.0336172801947066,0.32963947249661535,1.8225672303853617,True
haw,Latn,haw_Latn(thr=0.9),25,300,True,0.9999959468841553,1.0000100135803223,93053,35063,19490,2.6538801585717136,0.3768067660365598,1.799025141097999,True
heb,Hebr,heb_Hebr(thr=None),25,300,True,0.9999932050704956,1.0000033378601074,100758,23847,9568,4.225185557931815,0.23667599595069375,2.4923704013377925,True
hin,Deva;Latn,hin_Deva(thr=None),25,300,True,0.9915045499801636,0.9993614554405212,133430,19709,10899,6.770003551676899,0.14771040995278423,1.8083310395449124,True
hrv,Latn,hrv_Latn(thr=None),25,300,True,0.9521048665046692,0.9903829097747803,63504,21131,9009,3.0052529459088544,0.33275069286974046,2.3455433455433456,True
hun,Latn,hun_Latn(thr=None),25,300,True,1.0000100135803223,1.0000100135803223,144856,42400,16529,3.4164150943396225,0.29270447893080026,2.565188456651945,True
hye,Armn,hye_Armn(thr=None),25,300,True,1.0000100135803223,1.0000100135803223,24812,7976,1790,3.1108324974924773,0.3214573593422538,4.4558659217877095,True
ibo,Latn,ibo_Latn(thr=0.75),25,100,True,1.0000091791152954,1.0000100135803223,79856,30892,13026,2.5850058267512623,0.3868463233820878,2.37156456318133,True
ile,Latn,ile_Latn(thr=0.95),25,300,True,1.0000077486038208,1.0000100135803223,11400,3316,2052,3.4378769601930035,0.2908771929824562,1.6159844054580896,True
ina,Latn,ina_Latn(thr=0.99),25,200,True,0.9999905824661255,1.0000079870224,44009,11958,7732,3.680297708646931,0.27171714876502534,1.5465597516813243,True
ind,Latn,ind_Latn(thr=None),25,300,True,0.9925537109375,0.998319149017334,59288,12373,8007,4.791723914976158,0.20869315881797326,1.5452728862245535,True
isl,Latn,isl_Latn(thr=None),25,300,True,1.0000087022781372,1.0000097751617432,64218,22714,9974,2.827243109976226,0.3537014544208789,2.2773210346901944,True
ita,Latn,ita_Latn(thr=None),25,300,True,0.9978524446487427,0.9992191195487976,41587,9772,6403,4.255730659025788,0.23497727655276887,1.5261596126815555,True
jav,Latn,jav_Latn(thr=0.9),25,100,True,0.9999998807907104,1.0000097751617432,102815,31972,13850,3.2157825597397722,0.3109662986918251,2.308447653429603,True
jpn,Jpan,jpn_Jpan(thr=None),25,300,True,1.0000098943710327,1.0000100135803223,105556,18311,1390,5.7646223581453775,0.17347190117094244,13.17338129496403,False
kal,Latn,kal_Latn(thr=0.99),25,100,True,1.0000087022781372,1.0000100135803223,146107,53759,10643,2.7178146914935173,0.36794267215123166,5.05111340787372,True
kan,Knda;Latn,kan_Knda(thr=None),25,300,True,0.9999778270721436,1.0000059604644775,139749,33754,5925,4.140220418320792,0.24153303422564742,5.696877637130802,True
kas,Arab;Deva;Latn,kas_Arab(thr=0.99),25,252,True,1.0000100135803223,1.0000100135803223,34782,12427,3255,2.79890560875513,0.3572825024437928,3.8178187403993857,True
kat,Geor,kat_Geor(thr=None),25,300,True,0.9999921321868896,1.0000063180923462,182108,48322,9170,3.768635404163735,0.2653480352318404,5.269574700109051,True
kaz,Cyrl,kaz_Cyrl(thr=None),25,300,True,1.0000097751617432,1.0000100135803223,154957,40812,10592,3.796848965990395,0.26337629148731584,3.85309667673716,True
kha,Latn,kha_Latn(thr=0.99),25,300,True,1.0000097751617432,1.0000100135803223,212614,70798,43004,3.003107432413345,0.33298842032979953,1.6463119709794438,True
khm,Khmr,khm_Khmr(thr=None),25,300,True,1.0000090599060059,1.0000100135803223,257659,87591,6363,2.9416150061079334,0.339949312851482,13.765676567656765,False
kin,Latn,kin_Latn(thr=0.75),25,200,True,0.9776263236999512,0.9928014278411865,55683,19642,7632,2.8348946135831383,0.3527467988434531,2.573637316561845,True
kir,Cyrl,kir_Cyrl(thr=None),25,300,True,1.0000091791152954,1.0000100135803223,208668,53141,13771,3.926685609980994,0.2546677018038223,3.858906397501997,True
kor,Hang,kor_Hang(thr=None),25,300,True,1.0000100135803223,1.0000100135803223,52142,15796,4952,3.300962268928843,0.30294196616930685,3.1898222940226173,True
lao,Laoo,lao_Laoo(thr=0.95),25,200,True,0.9999878406524658,1.0000067949295044,230524,80946,4896,2.8478738912361328,0.35113914386354567,16.533088235294116,False
lat,Latn,lat_Latn(thr=None),25,300,True,0.9991486072540283,0.9998843669891357,157070,45722,23367,3.435326538646603,0.2910931431845674,1.9566910600419394,True
lif,Deva;Limb,lif_Deva(thr=0.99),25,102,True,0.9997866749763489,0.9998977184295654,901228,203897,34527,4.4200159884647645,0.22624352550076116,5.905436325194775,True
lin,Latn,lin_Latn(thr=0.99),25,300,True,1.000007152557373,1.0000098943710327,53032,19700,8714,2.691979695431472,0.3714738271232464,2.2607298599954095,True
lit,Latn,lit_Latn(thr=None),25,300,True,0.9999954700469971,1.0000087022781372,176493,55366,21835,3.18775060506448,0.31370082666168064,2.5356537668880237,True
ltz,Latn,ltz_Latn(thr=None),25,300,True,1.0000044107437134,1.000009536743164,23722,7704,3491,3.079179646936656,0.32476182446673973,2.2068175307934688,True
lug,Latn,lug_Latn(thr=0.95),25,100,True,0.9993515610694885,0.9999163150787354,60731,23307,8159,2.605697859012314,0.38377434917916714,2.856600073538424,True
mal,Latn;Mlym,mal_Mlym(thr=None),25,300,True,1.0000100135803223,1.0000100135803223,240408,51515,8634,4.666757255168397,0.21428155469035975,5.966527681260135,True
mar,Deva;Latn,mar_Deva(thr=None),25,300,True,1.000006914138794,1.0000100135803223,162765,29604,9939,5.498074584515606,0.18188185420698555,2.9785692725626323,True
mfe,Latn,mfe_Latn(thr=0.99),25,300,True,1.0000097751617432,1.0000100135803223,106340,34470,19494,3.0850014505366987,0.32414895617829603,1.768236380424746,True
mkd,Cyrl,mkd_Cyrl(thr=None),25,300,True,0.9999744892120361,1.0000040531158447,147227,29648,12389,4.965832433890988,0.20137610628485264,2.3930906449269513,True
mlt,Latn,mlt_Latn(thr=0.9),25,100,True,1.0000098943710327,1.0000100135803223,133174,48909,16146,2.7228935369768346,0.3672563713637797,3.0291713117800074,True
mri,Latn,mri_Latn(thr=0.9),25,100,True,1.0000091791152954,1.0000100135803223,78688,29087,15530,2.705263519785471,0.36964975599837335,1.872955569864778,True
mya,Mymr,mya_Mymr(thr=None),25,300,True,0.9984855055809021,0.9999568462371826,186664,52909,5153,3.528019807594171,0.28344512064458066,10.267611100329905,False
new,Deva,new_Deva(thr=0.99),25,300,True,1.0000098943710327,1.0000100135803223,39644,7753,2311,5.113375467560944,0.1955655332458884,3.354824751189961,True
nld,Latn,nld_Latn(thr=None),25,300,True,0.9997163414955139,0.999955415725708,29908,7451,4601,4.013957858005637,0.24913066737996523,1.619430558574223,True
nno,Latn,nno_Latn(thr=None),25,300,True,1.0000066757202148,1.0000100135803223,23193,6861,3772,3.380411018801924,0.29582201526322593,1.8189289501590669,True
nso,Latn,nso_Latn(thr=0.95),25,300,True,1.0000100135803223,1.0000100135803223,155533,56390,29569,2.75816634154992,0.36255971401567516,1.9070648314112753,True
nya,Latn,nya_Latn(thr=0.75),25,100,True,0.9994924068450928,0.9998210072517395,88577,31267,11674,2.8329228899478682,0.3529923117739368,2.6783450402604077,True
oci,Latn,oci_Latn(thr=0.99),25,100,True,0.9999910593032837,1.0000083446502686,28495,8725,4480,3.2659025787965614,0.30619406913493596,1.9475446428571428,True
pan,Guru;Latn,pan_Guru(thr=None),25,300,True,1.0000100135803223,1.0000100135803223,359873,93447,28675,3.8510920628805634,0.2596666046077366,3.258831734960767,True
pol,Latn,pol_Latn(thr=None),25,300,True,0.99997878074646,1.0000059604644775,82740,21020,10456,3.9362511893434826,0.25404882765288855,2.010328997704667,True
por,Latn,por_Latn(thr=0.75),25,100,True,0.9992920756340027,0.9999686479568481,52992,12224,8052,4.335078534031414,0.23067632850241543,1.5181321410829607,True
roh,Latn,roh_Latn(thr=0.9),25,300,True,0.9999971389770508,1.0000097751617432,22047,6995,3618,3.1518227305218014,0.31727672699233456,1.9333886124930901,True
ron,Cyrl;Latn,ron_Latn(thr=None),25,300,True,1.0000072717666626,1.0000098943710327,83079,23137,12571,3.590742101396032,0.27849396357683653,1.8405059263383978,True
run,Latn,run_Latn(thr=0.75),25,300,True,0.9999203681945801,1.000006079673767,96417,35751,13356,2.696903583116556,0.37079560658390115,2.676774483378257,True
rus,Cyrl,rus_Cyrl(thr=None),25,300,True,0.9998239874839783,0.9999220371246338,116734,17173,9294,6.797531007977639,0.14711223807973683,1.847751237357435,True
sag,Latn,sag_Latn(thr=0.9),25,200,True,1.0000100135803223,1.0000100135803223,90273,32121,19753,2.8104044083309985,0.3558206772789206,1.6261327393307345,True
san,Deva;Latn,san_Deva(thr=0.99),25,100,True,0.9998866319656372,0.999997615814209,194683,35969,10060,5.41252189385304,0.1847567584226666,3.5754473161033795,True
sco,Latn,sco_Latn(thr=0.99),25,200,True,1.0000100135803223,1.0000100135803223,24657,6836,4211,3.6069338794616734,0.27724378472644684,1.6233673711707433,True
sin,Sinh,sin_Sinh(thr=None),25,300,True,1.0000100135803223,1.0000100135803223,407967,133038,25165,3.066544896946737,0.3260999051393863,5.2866282535267235,True
slk,Latn,slk_Latn(thr=None),25,300,True,1.000008463859558,1.0000098943710327,76953,23069,10308,3.335775282847111,0.2997803854300677,2.2379705083430346,True
slv,Latn,slv_Latn(thr=None),25,300,True,1.0000083446502686,1.0000100135803223,99363,32316,14402,3.074730783512811,0.3252317260952266,2.2438550201360923,True
smo,Latn,smo_Latn(thr=0.95),25,100,True,1.000009298324585,1.0000100135803223,312194,112874,67892,2.765862820490104,0.36155083057329734,1.6625522889294762,True
sna,Latn,sna_Latn(thr=0.95),25,300,True,1.0000008344650269,1.000008463859558,115207,41557,14191,2.7722646004283273,0.36071592871960906,2.9284053273201325,True
snd,Arab;Deva;Latn,snd_Arab(thr=0.95),25,200,True,1.0000096559524536,1.0000100135803223,225734,72787,27510,3.1012955610205117,0.322445887637662,2.645837877135587,True
