code,estimated_tokens,raw_bytes_latest_crawl,crawl_id_used,crawl_date,yield,yield_coverage_fraction,tokens_per_byte,tokens_per_word_fertility,scripts_involved,whitespace_delimited_script,token_ratio_sample_size,token_ratio_pool_size,token_ratio_reached_pool_target,token_ratio_min_score,token_ratio_max_score
rus,13788611144.35156,25637143351469.39,CC-MAIN-2026-25,2026-06-15,0.003655965507768,0.626433608815427,0.1471122380797368,1.847751237357435,Cyrl,True,25,300,True,0.9998239874839784,0.9999220371246338
deu,6005565134.781794,22969174315121.305,CC-MAIN-2026-25,2026-06-15,0.0011416628556609,0.6106496987951807,0.2290185319970886,1.59972624168948,Latn,True,25,300,True,0.9991508722305298,0.9998015761375428
fra,5027841035.828906,18581041697249.35,CC-MAIN-2026-25,2026-06-15,0.0011282310709152,0.665965902232951,0.2398354765506807,1.444476082004556,Latn,True,25,300,True,0.9993902444839478,0.9999103546142578
jpn,4488735031.078403,21384690000680.465,CC-MAIN-2026-25,2026-06-15,0.0012100181166583,0.5642889210716872,0.1734719011709424,13.17338129496403,Jpan,False,25,300,True,1.0000098943710327,1.0000100135803225
ita,3399377740.7736177,9488191504978.396,CC-MAIN-2026-25,2026-06-15,0.0015247200760471,0.7411719171917192,0.2349772765527688,1.5261596126815555,Latn,True,25,300,True,0.9978524446487428,0.9992191195487976
por,2871663121.031736,9768517347026.363,CC-MAIN-2026-25,2026-06-15,0.0012743883959774,0.6401304968589377,0.2306763285024154,1.518132141082961,Latn,True,25,100,True,0.9992920756340028,0.999968647956848
pol,2616043392.789496,7919692391544.464,CC-MAIN-2026-25,2026-06-15,0.0013002277622848,0.7460556079170594,0.2540488276528885,2.010328997704667,Latn,True,25,300,True,0.99997878074646,1.0000059604644775
ind,2124269692.2611752,4523422002003.587,CC-MAIN-2026-25,2026-06-15,0.002250268465281,0.7528107335662115,0.2086931588179732,1.5452728862245535,Latn,True,25,300,True,0.9925537109375,0.998319149017334
nld,2114911717.3780415,7184373145226.694,CC-MAIN-2026-25,2026-06-15,0.0011816154778372,0.8085814185814186,0.2491306673799652,1.619430558574223,Latn,True,25,300,True,0.999716341495514,0.999955415725708
ukr,2003394336.706354,3119843377006.784,CC-MAIN-2026-25,2026-06-15,0.0033465154491822,0.741811650485437,0.1918849067696028,2.2295398891609746,Cyrl,True,25,300,True,0.9999847412109376,1.0000059604644775
