code,reason
aar,missing_from_yield_data
aka,missing_from_yield_data
ara,missing_from_yield_data
aym,missing_from_yield_data
aze,missing_from_yield_data
bih,missing_from_yield_data
blu,missing_from_yield_data
chr,missing_from_yield_data
eng,missing_from_yield_data
est,missing_from_yield_data
got,missing_from_yield_data
grn,missing_from_yield_data
hmn,missing_from_yield_data
iku,missing_from_yield_data
ipk,missing_from_yield_data
kas,null_value_in_one_of_the_three_inputs
kur,missing_from_yield_data
lav,missing_from_yield_data
lif,null_value_in_one_of_the_three_inputs
mlg,missing_from_yield_data
mon,missing_from_yield_data
msa,missing_from_yield_data
nau,missing_from_yield_data
nep,missing_from_yield_data
new,null_value_in_one_of_the_three_inputs
nor,missing_from_yield_data
ori,missing_from_yield_data
orm,missing_from_yield_data
pus,missing_from_yield_data
que,missing_from_yield_data
spa,missing_from_yield_data
sqi,missing_from_yield_data
sux,missing_from_yield_data
swa,missing_from_yield_data
syr,missing_from_yield_data
tgl,missing_from_yield_data
tur,missing_from_yield_data
uzb,missing_from_yield_data
yid,missing_from_yield_data
zha,missing_from_yield_data
zho,missing_from_yield_data
