code,total_utf8_bytes,matched_clean_bytes,matched_raw_bytes,matched_dump_count,script_count,yield,yield_coverage_fraction
abk,22996358,22221199.865168538,62971811962.90817,48,1,0.0003528753448964964,0.9662921348314606
afr,8254403024,6805266420.339278,1672622805084.3667,48,1,0.004068619894248077,0.8244407742816409
amh,2675147230,2350093857.194688,443702996652.41406,48,1,0.005296547183420745,0.878491408188658
asm,1492639236,1472252289.037639,466585948519.01794,96,2,0.00315537211034899,0.9863416782363337
bak,885201808,755115805.8553106,269271052133.925,48,1,0.0028042962653101874,0.853043677759084
bel,12316859892,9582937975.46472,2700651617010.6753,48,1,0.0035483799224988446,0.778034179124583
ben,93536923920,83245627968.99449,26089245740745.37,96,2,0.0031908024017338324,0.8899761129646788
bis,16128462,12207308.114632757,17331457974.24605,48,1,0.0007043439814914819,0.7568798633516797
bod,2067569611,1810054018.7585611,216498332024.30887,48,1,0.008360591057834684,0.8754500980903425
bos,52807573543,42630935786.19078,6686173835852.766,48,1,0.006375983758841885,0.8072882907880132
bre,136021651,111984154.72891858,411630620131.36566,48,1,0.0002720501081605167,0.8232818371607515
bul,156496753428,124477352134.16441,45320694135260.06,48,1,0.002746589709386633,0.7953989421987155
cat,43330701751,32641473519.50946,36940756282166.64,48,1,0.0008836168179715183,0.7533105211885046
ceb,692041428,626068949.1721104,327955923194.5536,48,1,0.001909003329086717,0.904669755077308
ces,221544258565,160829122501.64658,167029911738494.72,48,1,0.0009628761748580924,0.7259457931493183
cos,431709777,416153823.8156544,352379993799.4846,48,1,0.0011809802802041568,0.96396664144962
crs,89184075,62478307.62476895,15164697023.410954,48,1,0.00411998390263361,0.700554528650647
cym,2680853098,2234467489.9307036,1641723259702.4048,48,1,0.001361050028818953,0.8334912090474804
dan,161837584891,123802299292.5775,68228222150313.14,48,1,0.0018145321010978343,0.7649786628733998
deu,1654784757688,1010493813853.0333,885107025110373.1,48,1,0.001141662855660901,0.6106496987951807
div,1495299270,1438309066.7820961,287645825180.506,48,1,0.005000277914270148,0.9618870921953276
dzo,144543424,121944192.26279952,14920660348.012434,48,1,0.008172841510935109,0.8436509174073497
ell,238423993714,173173421736.60147,87240495414045.84,48,1,0.0019850119020383312,0.7263254802464661
epo,1303689462,1008576131.958017,1340149553579.1445,48,1,0.0007525847613532441,0.7736321887658374
eus,4616894404,4026771945.055433,5038545638658.075,48,1,0.0007991933057349244,0.8721819458479936
fao,591504161,496890231.1768807,627429686508.9424,48,1,0.0007919456822988544,0.840045199913447
fas,327079306116,242421041616.39224,99131580649206.58,48,1,0.002445447152449218,0.7411689981096409
fij,50193257,43825382.44093666,16969629125.877823,48,1,0.002582577504543407,0.8731328680451372
fin,153578789445,111333696401.68253,62257544319037.43,48,1,0.0017882763867324324,0.7249288577154309
fra,1220202265605,812613102720.3248,720254142674099.5,48,1,0.0011282310709152226,0.665965902232951
fry,693772624,490804116.0164807,453743883780.35974,48,1,0.0010816765438849648,0.7074423219335341
gla,935026939,848702081.9413624,239410708414.59222,48,1,0.003544962911482006,0.9076766096697053
gle,2330152361,2000468738.2198482,926063147336.4917,48,1,0.002160186099591072,0.8585141348273613
glg,6947044419,5752877021.091173,5885296673747.595,48,1,0.0009774999188660951,0.8281042518394143
glv,7217776,4464936.168968318,60801387771.16049,48,1,7.343477398530928e-05,0.6186027619821283
guj,12576609316,11999199472.84787,3191814730109.1597,96,2,0.0037593659054382202,0.9540885918736819
hat,657148963,584004575.9915758,244006316143.12936,48,1,0.002393399421878121,0.8886943583164048
hau,1388541923,1197984151.604229,329412076834.20703,48,1,0.003636734157160771,0.862764120953537
haw,349447631,340589508.40531063,83351967554.93239,48,1,0.004086160391844957,0.9746510726962422
heb,73780962340,60168647445.18922,35433940726437.39,48,1,0.0016980512528852647,0.8155036954915004
hin,130420322355,110791930726.75328,41645576432125.16,96,2,0.0026603529166494867,0.8494989793475678
hrv,38555062999,31555105871.687458,31084609269661.297,48,1,0.0010151359985883872,0.8184425965665236
hun,214420647030,163821130106.58453,88009876085899.78,48,1,0.001861394850126719,0.7640175159235668
hye,7697017226,6878982904.897357,5222916410214.693,48,1,0.0013170769670837197,0.8937206066865254
ibo,396446133,373956037.0407754,70290666010.03691,48,1,0.005320137911161315,0.9432707394847396
ile,1937625,1505000.1077586208,50450580999.77044,48,1,2.9831174942573384e-05,0.7767241379310346
ina,13935712,7877385.662745098,100942140591.25089,48,1,7.803862308253712e-05,0.565266106442577
ind,374364271538,281825441877.5022,125240808474958.56,48,1,0.0022502684652810443,0.7528107335662115
isl,11028092809,9493805691.271528,6234220013557.91,48,1,0.0015228538085959131,0.8608746639784947
ita,793750885035,588305865234.0148,385845162319375.4,48,1,0.0015247200760471287,0.7411719171917192
jav,821367191,722145895.4752413,327491310438.37885,48,1,0.0022050841425642074,0.8791998309502008
jpn,1650248456871,931216921227.9532,769589238712920.8,48,1,0.001210018116658365,0.5642889210716872
kal,158054011,141915690.63571855,158727714748.28842,48,1,0.000894082617271782,0.8978936360920227
kan,13863029460,12924985844.083305,3336767778212.2983,96,2,0.0038735047516575984,0.9323348753875695
kas,1371498,1287098.1230769232,0.0,28,1,,0.9384615384615386
kat,27094494127,23285917574.414577,6263589565799.223,48,1,0.003717663382920483,0.8594335611237661
kaz,22198217777,18887983799.20073,3512777128692.508,48,1,0.0053769377068994505,0.8508783898305085
kha,61611510,58004341.27529757,33879977651.393715,48,1,0.001712053705351587,0.9414530057013303
khm,9341656291,7939006416.367021,1457388315476.1997,48,1,0.005447420109013953,0.8498499804596398
kin,831837331,630425669.1339599,298504073663.78046,48,1,0.0021119499690447734,0.7578713357046486
kir,4682371376,3812414510.064081,838599965344.556,48,1,0.004546165833071162,0.8142059234355103
kor,229164863492,186071164364.89893,108318365683387.98,48,1,0.0017178173174139325,0.8119532878189005
lao,2327641306,2081306392.8685985,535654493147.91846,48,1,0.003885538942532226,0.8941697277426638
lat,4145908647,3409941007.100624,17042180072405.516,48,1,0.00020008830986488387,0.8224833920467771
lif,2525752,1870027.923076923,0.0,6,1,,0.7403846153846153
lin,60739787,37080886.12597215,36504448653.38255,48,1,0.0010157908828609629,0.6104875890653378
lit,60666590655,47426610847.51887,27634143902936.344,48,1,0.0017162323180375208,0.7817583011583011
ltz,1051196381,966363134.490866,574184191226.2251,48,1,0.0016830194025842218,0.9192983841625935
lug,82898772,77605373.80480523,27997554039.037235,48,1,0.0027718626311641144,0.9361462411627187
mal,23927596532,21354058696.809048,6354228052514.793,96,2,0.003360606279838795,0.8924447830876292
mar,24245130318,22810311959.628796,5375087683190.302,96,2,0.004243709740952557,0.9408203486823096
mfe,28539312,18838062.556242276,18825945650.395706,48,1,0.001000643628005285,0.6600741656365884
mkd,16096523670,13832503648.649307,4493638638951.289,48,1,0.0030782412116425748,0.8593472685303923
mlt,1642185804,1476271964.4348085,570448867529.5674,48,1,0.002587912867332129,0.8989676812690365
mri,539994062,495161143.7949179,177571386930.4469,48,1,0.0027885187605639866,0.9169751644323042
mya,13261245557,11552231708.29435,1750358493084.3477,48,1,0.006599923246544707,0.8711271998275049
new,118278603,22288987.773305085,0.0,9,1,,0.18844480073293632
nld,426818652448,345117631473.4133,292072707193292.25,48,1,0.001181615477837223,0.8085814185814186
nno,2882129938,2193668435.2238493,2722931023607.676,48,1,0.000805627618255789,0.7611275280482684
nso,30270070,14684084.23649907,18820418868.404083,48,1,0.0007802209047084953,0.4851024208566108
nya,417963769,395622612.80948126,68908287832.24973,48,1,0.005741292161729292,0.9465476248241059
oci,197203492,151120365.0929428,498999024930.61646,48,1,0.0003028470148092081,0.7663168819188192
pan,6076354896,5782859252.314311,1689169596800.15,96,2,0.0034234923854117275,0.9516987324293888
pol,463862082709,346066908105.1363,266158682458064.75,48,1,0.0013002277622848606,0.7460556079170594
por,611213407211,391256342044.82166,307014991096743.5,48,1,0.0012743883959774878,0.6401304968589377
roh,125686586,113673664.59654409,210207693122.70612,48,1,0.0005407683368190931,0.9044216110424392
ron,199940138926,147438743928.60013,179590354040405.56,96,2,0.0008209725111150918,0.7374144317423367
run,143865820,98567293.25989534,15540555351.392866,48,1,0.006342584999773574,0.6851335032872669
rus,6400108560340,4009243102264.293,1096630450628055.8,48,1,0.0036559655077680387,0.626433608815427
sag,19959041,4917640.86065944,9378356425.858719,47,1,0.0005243606275295899,0.246386630532972
san,417488611,336895215.6453571,868487395314.7141,96,2,0.0003879103110336751,0.8069566612569392
sco,28979974,19586711.234963067,94129580171.28488,48,1,0.00020808242424242936,0.6758705592683785
sin,7567102011,6537771389.856568,1137458675194.253,48,1,0.005747700142811835,0.863972942396292
slk,91733828860,71892928820.73466,54264392566933.99,48,1,0.0013248637904138749,0.7837122871046229
slv,44878788376,37696158373.734116,24141601734228.51,48,1,0.0015614605355819306,0.839954903815831
smo,426106921,393854561.1212841,68986033198.45634,48,1,0.005709192757731968,0.9243092325207366
sna,360372257,327448853.2809993,70251196109.05841,48,1,0.004661114278718694,0.9086405707445989
snd,1280017932,1220532917.6306062,430819185855.242,114,3,0.002833051446415186,0.9535279835678163
som,2204199720,1749988584.3324265,671341240645.0126,48,1,0.0026067050232919833,0.7939337658260961
sot,385995324,373316889.1698309,69641318963.15356,48,1,0.005360566036484011,0.9671539160143581
srp,31081551336,26624230047.0247,67801544749784.164,96,2,0.00039267881204298747,0.8565927021856005
ssw,10574317,9984355.105910165,2667217640.496538,48,1,0.0037433597297487297,0.9442080378250591
sun,448575600,401908445.7284451,166278588548.82944,48,1,0.0024170787666412054,0.8959659101574966
swe,217929329252,156991276298.3643,115173903024387.75,48,1,0.0013630802827366356,0.720376999448428
tam,39725133431,33227762157.209812,13410903912949.586,96,2,0.002477667603383918,0.8364418011313743
tat,1740298943,1446068199.034215,2179650047708.035,96,2,0.0006634405374178288,0.8309309184210744
tel,15584541382,14505786682.142466,5297458143436.473,96,2,0.002738254137999197,0.9307804655000316
tgk,4031127806,3196189453.889143,762889561578.2998,48,1,0.004189583413982916,0.7928772313127556
tha,299226473998,239626967850.97305,58133300489419.484,48,1,0.0041220258583905146,0.8008214134574694
tir,376757819,309720419.94508076,111717217353.71782,48,1,0.0027723606735069973,0.8220676634320382
ton,26680737,14796756.252182087,16033606471.411423,48,1,0.0009228588888323603,0.5545857392238486
tsn,28692609,26370609.64219285,31481373945.89421,48,1,0.0008376575205235633,0.9190732582803067
tso,34932753,18022791.621633362,8163490194.405985,48,1,0.0022077311532735645,0.515928178395598
tuk,770298679,641777534.156052,858846085482.1843,138,3,0.0007472555851444989,0.8331541409225914
uig,1224261657,1106083422.4046052,391914400338.52893,96,2,0.002822257670167744,0.9034697902040112
ukr,273654962631,203000439492.83267,60660242743668.57,48,1,0.003346515449182255,0.741811650485437
urd,21688159395,18583951635.61675,8046757050025.145,96,2,0.002309495803102279,0.8568708527613046
ven,16844849,16054423.343065692,1077543535.551071,48,1,0.01489909485175022,0.9530761209593326
vie,343416915256,270196252831.56647,138891873338643.34,48,1,0.0019453712181761668,0.7867878395860285
vol,5995586,5228742.4327853,143765010432.10883,48,1,3.637006262559628e-05,0.8720986460348162
war,4037242,3219986.5344129554,436707258360.87805,48,1,7.373329553758144e-06,0.7975708502024291
wol,19017020,15946608.524392085,22840305508.24718,48,1,0.0006981784249179189,0.8385440265820873
