subset,code,reason
aai_Latn,aai,not_in_cc_data
aak_Latn,aak,not_in_cc_data
aau_Latn,aau,not_in_cc_data
aaz_Latn,aaz,not_in_cc_data
aba_Latn,aba,not_in_cc_data
abi_Latn,abi,not_in_cc_data
abn_Latn,abn,not_in_cc_data
abq_Cyrl,abq,not_in_cc_data
abs_Latn,abs,not_in_cc_data
abt_Latn,abt,not_in_cc_data
abx_Latn,abx,not_in_cc_data
aby_Latn,aby,not_in_cc_data
abz_Latn,abz,not_in_cc_data
aca_Latn,aca,not_in_cc_data
acd_Latn,acd,not_in_cc_data
ace_Latn,ace,not_in_cc_data
acf_Latn,acf,not_in_cc_data
ach_Latn,ach,not_in_cc_data
acm_Arab,acm,not_in_cc_data
acn_Latn,acn,not_in_cc_data
acr_Latn,acr,not_in_cc_data
acu_Latn,acu,not_in_cc_data
ada_Latn,ada,not_in_cc_data
ade_Latn,ade,not_in_cc_data
adh_Latn,adh,not_in_cc_data
adi_Latn,adi,not_in_cc_data
adj_Latn,adj,not_in_cc_data
adl_Latn,adl,not_in_cc_data
ady_Cyrl,ady,not_in_cc_data
adz_Latn,adz,not_in_cc_data
aeb_Arab,aeb,not_in_cc_data
aer_Latn,aer,not_in_cc_data
aeu_Latn,aeu,not_in_cc_data
aey_Latn,aey,not_in_cc_data
agd_Latn,agd,not_in_cc_data
agg_Latn,agg,not_in_cc_data
agm_Latn,agm,not_in_cc_data
agn_Latn,agn,not_in_cc_data
agr_Latn,agr,not_in_cc_data
agt_Latn,agt,not_in_cc_data
agu_Latn,agu,not_in_cc_data
agw_Latn,agw,not_in_cc_data
agx_Cyrl,agx,not_in_cc_data
aha_Latn,aha,not_in_cc_data
ahk_Latn,ahk,not_in_cc_data
aia_Latn,aia,not_in_cc_data
aii_Syrc,aii,not_in_cc_data
aim_Latn,aim,not_in_cc_data
ain_Latn,ain,not_in_cc_data
ajg_Latn,ajg,not_in_cc_data
aji_Latn,aji,not_in_cc_data
ajz_Latn,ajz,not_in_cc_data
akb_Latn,akb,not_in_cc_data
ake_Latn,ake,not_in_cc_data
akh_Latn,akh,not_in_cc_data
akp_Latn,akp,not_in_cc_data
alj_Latn,alj,not_in_cc_data
aln_Latn,aln,not_in_cc_data
alp_Latn,alp,not_in_cc_data
alq_Latn,alq,not_in_cc_data
als_Latn,als,not_in_cc_data
alt_Cyrl,alt,not_in_cc_data
aly_Latn,aly,not_in_cc_data
alz_Latn,alz,not_in_cc_data
ame_Latn,ame,not_in_cc_data
amf_Latn,amf,not_in_cc_data
ami_Latn,ami,not_in_cc_data
amk_Latn,amk,not_in_cc_data
amm_Latn,amm,not_in_cc_data
amn_Latn,amn,not_in_cc_data
amp_Latn,amp,not_in_cc_data
amr_Latn,amr,not_in_cc_data
amu_Latn,amu,not_in_cc_data
amx_Latn,amx,not_in_cc_data
ang_Latn,ang,not_in_cc_data
anm_Latn,anm,not_in_cc_data
ann_Latn,ann,not_in_cc_data
anp_Deva,anp,not_in_cc_data
anv_Latn,anv,not_in_cc_data
any_Latn,any,not_in_cc_data
aoi_Latn,aoi,not_in_cc_data
aoj_Latn,aoj,not_in_cc_data
aom_Latn,aom,not_in_cc_data
aoz_Latn,aoz,not_in_cc_data
apb_Latn,apb,not_in_cc_data
apc_Arab,apc,not_in_cc_data
ape_Latn,ape,not_in_cc_data
apn_Latn,apn,not_in_cc_data
apr_Latn,apr,not_in_cc_data
apt_Latn,apt,not_in_cc_data
apu_Latn,apu,not_in_cc_data
apw_Latn,apw,not_in_cc_data
apy_Latn,apy,not_in_cc_data
apz_Latn,apz,not_in_cc_data
arb_Arab,arb,not_in_cc_data
arb_Latn,arb,not_in_cc_data
are_Latn,are,not_in_cc_data
arg_Latn,arg,not_in_cc_data
arl_Latn,arl,not_in_cc_data
arn_Latn,arn,not_in_cc_data
arp_Latn,arp,not_in_cc_data
arq_Arab,arq,not_in_cc_data
ars_Arab,ars,not_in_cc_data
ary_Arab,ary,not_in_cc_data
arz_Arab,arz,not_in_cc_data
asg_Latn,asg,not_in_cc_data
aso_Latn,aso,not_in_cc_data
ast_Latn,ast,not_in_cc_data
ata_Latn,ata,not_in_cc_data
atb_Latn,atb,not_in_cc_data
atd_Latn,atd,not_in_cc_data
atg_Latn,atg,not_in_cc_data
ati_Latn,ati,not_in_cc_data
atj_Latn,atj,not_in_cc_data
atq_Latn,atq,not_in_cc_data
att_Latn,att,not_in_cc_data
auc_Latn,auc,not_in_cc_data
aui_Latn,aui,not_in_cc_data
auy_Latn,auy,not_in_cc_data
ava_Cyrl,ava,not_in_cc_data
avk_Latn,avk,not_in_cc_data
avn_Latn,avn,not_in_cc_data
avt_Latn,avt,not_in_cc_data
avu_Latn,avu,not_in_cc_data
awa_Deva,awa,not_in_cc_data
awb_Latn,awb,not_in_cc_data
awx_Latn,awx,not_in_cc_data
ayo_Latn,ayo,not_in_cc_data
ayp_Arab,ayp,not_in_cc_data
ayr_Latn,ayr,not_in_cc_data
azb_Arab,azb,not_in_cc_data
azg_Latn,azg,not_in_cc_data
azj_Cyrl,azj,not_in_cc_data
azj_Latn,azj,not_in_cc_data
azz_Latn,azz,not_in_cc_data
bam_Latn,bam,not_in_cc_data
ban_Latn,ban,not_in_cc_data
bao_Latn,bao,not_in_cc_data
bar_Latn,bar,not_in_cc_data
bas_Latn,bas,not_in_cc_data
bav_Latn,bav,not_in_cc_data
bba_Latn,bba,not_in_cc_data
bbb_Latn,bbb,not_in_cc_data
bbc_Latn,bbc,not_in_cc_data
bbj_Latn,bbj,not_in_cc_data
bbk_Latn,bbk,not_in_cc_data
bbo_Latn,bbo,not_in_cc_data
bbr_Latn,bbr,not_in_cc_data
bch_Latn,bch,not_in_cc_data
bci_Latn,bci,not_in_cc_data
bcl_Latn,bcl,not_in_cc_data
bco_Latn,bco,not_in_cc_data
bcw_Latn,bcw,not_in_cc_data
bdd_Latn,bdd,not_in_cc_data
bdh_Latn,bdh,not_in_cc_data
bdq_Latn,bdq,not_in_cc_data
bea_Latn,bea,not_in_cc_data
bef_Latn,bef,not_in_cc_data
bem_Latn,bem,not_in_cc_data
beq_Latn,beq,not_in_cc_data
bew_Latn,bew,not_in_cc_data
bex_Latn,bex,not_in_cc_data
bfd_Latn,bfd,not_in_cc_data
bfo_Latn,bfo,not_in_cc_data
bgr_Latn,bgr,not_in_cc_data
bgs_Latn,bgs,not_in_cc_data
bgt_Latn,bgt,not_in_cc_data
bgz_Latn,bgz,not_in_cc_data
bhg_Latn,bhg,not_in_cc_data
bhl_Latn,bhl,not_in_cc_data
bho_Deva,bho,not_in_cc_data
bhp_Latn,bhp,not_in_cc_data
bhw_Latn,bhw,not_in_cc_data
bhz_Latn,bhz,not_in_cc_data
bib_Latn,bib,not_in_cc_data
big_Latn,big,not_in_cc_data
bim_Latn,bim,not_in_cc_data
bin_Latn,bin,not_in_cc_data
biu_Latn,biu,not_in_cc_data
biv_Latn,biv,not_in_cc_data
bjn_Arab,bjn,not_in_cc_data
bjn_Latn,bjn,not_in_cc_data
bjp_Latn,bjp,not_in_cc_data
bjr_Latn,bjr,not_in_cc_data
bjv_Latn,bjv,not_in_cc_data
bkd_Latn,bkd,not_in_cc_data
bkl_Latn,bkl,not_in_cc_data
bkq_Latn,bkq,not_in_cc_data
bku_Latn,bku,not_in_cc_data
bkv_Latn,bkv,not_in_cc_data
bla_Latn,bla,not_in_cc_data
blh_Latn,blh,not_in_cc_data
blk_Mymr,blk,not_in_cc_data
blw_Latn,blw,not_in_cc_data
blz_Latn,blz,not_in_cc_data
bmh_Latn,bmh,not_in_cc_data
bmk_Latn,bmk,not_in_cc_data
bmq_Latn,bmq,not_in_cc_data
bmr_Latn,bmr,not_in_cc_data
bmu_Latn,bmu,not_in_cc_data
bmv_Latn,bmv,not_in_cc_data
bno_Latn,bno,not_in_cc_data
bnp_Latn,bnp,not_in_cc_data
boa_Latn,boa,not_in_cc_data
boj_Latn,boj,not_in_cc_data
bom_Latn,bom,not_in_cc_data
bon_Latn,bon,not_in_cc_data
bov_Latn,bov,not_in_cc_data
box_Latn,box,not_in_cc_data
bpr_Latn,bpr,not_in_cc_data
bps_Latn,bps,not_in_cc_data
bpy_Beng,bpy,not_in_cc_data
bqc_Latn,bqc,not_in_cc_data
bqj_Latn,bqj,not_in_cc_data
bqp_Latn,bqp,not_in_cc_data
brh_Arab,brh,not_in_cc_data
bru_Latn,bru,not_in_cc_data
brx_Deva,brx,not_in_cc_data
bsc_Latn,bsc,not_in_cc_data
bsn_Latn,bsn,not_in_cc_data
bsp_Latn,bsp,not_in_cc_data
bsq_Latn,bsq,not_in_cc_data
bss_Latn,bss,not_in_cc_data
btd_Latn,btd,not_in_cc_data
bth_Latn,bth,not_in_cc_data
bts_Latn,bts,not_in_cc_data
btt_Latn,btt,not_in_cc_data
btx_Latn,btx,not_in_cc_data
bud_Latn,bud,not_in_cc_data
bug_Latn,bug,not_in_cc_data
buk_Latn,buk,not_in_cc_data
bum_Latn,bum,not_in_cc_data
bus_Latn,bus,not_in_cc_data
bvc_Latn,bvc,not_in_cc_data
bvd_Latn,bvd,not_in_cc_data
bvr_Latn,bvr,not_in_cc_data
bvz_Latn,bvz,not_in_cc_data
bwd_Latn,bwd,not_in_cc_data
bwi_Latn,bwi,not_in_cc_data
bwq_Latn,bwq,not_in_cc_data
bwu_Latn,bwu,not_in_cc_data
bxh_Latn,bxh,not_in_cc_data
bxr_Cyrl,bxr,not_in_cc_data
byr_Latn,byr,not_in_cc_data
byv_Latn,byv,not_in_cc_data
byx_Latn,byx,not_in_cc_data
bzd_Latn,bzd,not_in_cc_data
bzh_Latn,bzh,not_in_cc_data
bzi_Thai,bzi,not_in_cc_data
bzj_Latn,bzj,not_in_cc_data
caa_Latn,caa,not_in_cc_data
cab_Latn,cab,not_in_cc_data
cac_Latn,cac,not_in_cc_data
caf_Latn,caf,not_in_cc_data
cag_Latn,cag,not_in_cc_data
cak_Latn,cak,not_in_cc_data
cao_Latn,cao,not_in_cc_data
cap_Latn,cap,not_in_cc_data
caq_Latn,caq,not_in_cc_data
car_Latn,car,not_in_cc_data
cas_Latn,cas,not_in_cc_data
cav_Latn,cav,not_in_cc_data
cax_Latn,cax,not_in_cc_data
cbc_Latn,cbc,not_in_cc_data
cbi_Latn,cbi,not_in_cc_data
cbk_Latn,cbk,not_in_cc_data
cbr_Latn,cbr,not_in_cc_data
cbs_Latn,cbs,not_in_cc_data
cbt_Latn,cbt,not_in_cc_data
cbu_Latn,cbu,not_in_cc_data
cbv_Latn,cbv,not_in_cc_data
cce_Latn,cce,not_in_cc_data
cco_Latn,cco,not_in_cc_data
ccp_Latn,ccp,not_in_cc_data
ceg_Latn,ceg,not_in_cc_data
cek_Latn,cek,not_in_cc_data
cfm_Latn,cfm,not_in_cc_data
cgc_Latn,cgc,not_in_cc_data
cgg_Latn,cgg,not_in_cc_data
cha_Latn,cha,not_in_cc_data
chd_Latn,chd,not_in_cc_data
che_Cyrl,che,not_in_cc_data
chf_Latn,chf,not_in_cc_data
chj_Latn,chj,not_in_cc_data
chk_Latn,chk,not_in_cc_data
cho_Latn,cho,not_in_cc_data
chq_Latn,chq,not_in_cc_data
chu_Cyrl,chu,not_in_cc_data
chv_Cyrl,chv,not_in_cc_data
chw_Latn,chw,not_in_cc_data
chz_Latn,chz,not_in_cc_data
cjk_Latn,cjk,not_in_cc_data
