dataset_id,parquet_convertible,status_code,partial,partial_split_names_seen,num_shards
openbmb/UltraX-Preview,True,200,False,,479.0
FlyRank/internship-warehouse,,401,,,
markov-ai/gaming-500-hours,True,200,False,,1.0
LiquidAI/antidoom-mix-v1.0,True,200,False,,0.0
AlicanKiraz0/Turkce-Atlas-Instruct,True,200,False,,1.0
Glint-Research/Fable-5-traces,True,200,False,,1.0
sensenova/SenseNova-Vision-Corpus-50M,True,200,False,,3.0
Crownelius/Complete-FABLE.5-traces-2M,True,200,False,,1.0
SupraLabs/reasoning-corpus-4K-5M-v1,True,200,True,,10.0
wikimedia/wikipedia,True,200,False,,555.0
armand0e/claude-fable-5-claude-code,True,200,False,,1.0
bigfacing/GOKU-2M,,401,,,
schema-harness/arc-agi-3-schema-traces,True,200,False,,1.0
roneneldan/TinyStories,True,200,False,,5.0
nvidia/Open-SWE-Traces,True,200,False,,84.0
ByteDance-Seed/EdgeBench,True,200,False,,1.0
Manusagents/GPT-5.5-Gemini-3.1-Pro-Grok-4-Claude-Fable-5-Mythos-5-Qwen-3.7-Max-and-more-Distillation-Dataset,True,200,True,,10.0
HuggingFaceFW/fineweb,False,501,,,
netflix/Vera-Layered-Video-Dataset,True,200,False,,2.0
CMRobot/MotionDecode,True,200,False,,0.0
kyutai/rocket-science,,401,,,
HuggingFaceFW/fineweb-edu,True,200,False,,5446.0
AletheiaResearch/GLM-5.2-Agent,True,200,False,,1.0
ProCreations/grug-think,True,200,False,,3.0
yatin-superintelligence/blood-pathology-lims-environment,,500,,,
t-tech/TRuST,True,200,False,,1.0
codeparrot/github-code,False,501,,,
scholarweave/arxiv-latex,True,200,False,,45.0
SupraLabs/Prompt-Routing-Dataset,True,200,False,,1.0
uv-scripts/ocr,False,501,,,
bones-studio/seed,,401,,,
MCG-NJU/VideoChat3-Academic2M,True,200,False,,0.0
t-tech/SynthComp,True,200,False,,2.0
gclef-cmu/multtipop,True,200,False,,2.0
openai/gdpval,True,200,False,,1.0
nvidia/PhysicalAI-Robotics-Locomanipulation-GRAIL,True,200,False,,1.0
WithinUsAI/claude_mythos_distilled_25k,True,200,False,,1.0
openbmb/UltraData-SFT-2605,,401,,,
prathoshap/vagdhenu-data,True,200,False,,2.0
yatin-superintelligence/digital-hospital-environment,True,200,False,,1.0
vypivshiy/habr,True,200,False,,31.0
ai-sage/TimeGround-1M,True,200,False,,8.0
davanstrien/commoncrawl-jobs-demo,True,200,False,,0.0
simon3000/genshin-voice,True,200,False,,43.0
trillionlabs/TheBioCollection,True,200,True,,10.0
SupraLabs/reasoning-summaries-61k,True,200,False,,1.0
MCG-NJU/VideoChat3-OL617k,True,200,False,,0.0
openai/gsm8k,True,200,False,,4.0
cais/hle,,401,,,
allenai/olmOCR-bench,True,200,False,,0.0
nvidia/PhysicalAI-Autonomous-Vehicles,,401,,,
ScaleAI/SWE-bench_Pro,True,200,False,,1.0
mercor/apex-agents,,401,,,
nvidia/Nemotron-SFT-Agentic-v2,True,200,False,,0.0
Jackrong/GLM-5.1-Reasoning-1M-Cleaned,True,200,True,,35.0
datacurve/deep-swe,,401,,,
RekaAI/CS2-10k,True,200,False,,0.0
rl-llm-wiki/knowledge-base,,500,,,
precisionaiinc/AgriStress-500,True,200,False,,1.0
MCG-NJU/VideoChat3-LV116k,True,200,False,,1.0
SupraLabs/agentic-reasoning-trace-summaries-40k,True,200,False,,1.0
apple/hat,True,200,False,,228.0
MCG-NJU/TimeLens2-93K,True,200,False,,3.0
dronefreak/UAVid-2020,True,200,False,,3.0
ianncity/GLM-5.2-Science,True,200,False,,2.0
averoo/low_resource_parallel_corpora,True,200,False,,2.0
gaia-benchmark/GAIA,,401,,,
Idavidrein/gpqa,,401,,,
bigcode/the-stack-v2,,401,,,
nvidia/PhysicalAI-Autonomous-Vehicles-NuRec,,401,,,
UCSC-VLAA/GPT-Image-Edit-1.5M,True,200,True,,8.0
nvidia/Nemotron-CC-Math-v1,,401,,,
databricks/officeqa,,401,,,
openbmb/UltraData-Math,True,200,False,,1823.0
nebius/SWE-rebench-V2,True,200,False,,1.0
alibayram/identity_finetune_magibu_q3,,401,,,
allenai/dolma3.5_pool,False,501,,,
llamaindex/ParseBench,True,200,False,,5.0
paperinstruments/diligence-bench,True,200,False,,1.0
angrygiraffe/claude-opus-4.6-4.7-reasoning-8.7k,True,200,False,,1.0
CodeDevX/Vibe-Coding-Instruct,True,200,False,,1.0
jumplander/JL-AgentBehavior-10K,True,200,False,,3.0
jumplander/JumpForge-Agentic-SE-3K,True,200,False,,3.0
choucsan/SIS-Motion-54K,True,200,False,,1.0
ianncity/GLM-5.2-Conversation,True,200,False,,1.0
IntelligenceLab/Long-Horizon-Terminal-Bench,True,200,False,,1.0
ianncity/GLM-5.2-Logic-Puzzles,True,200,False,,1.0
ProCreations/grug-think-v3-10k,True,200,False,,1.0
greghavens/fable-5-coding-and-debugging-traces,,500,,,
microsoft/RESOURCE2SKILL,False,501,,,
hotpotqa/hotpot_qa,True,200,False,,7.0
MLCommons/peoples_speech,True,200,False,,4494.0
ShapeNet/ShapeNetCore,,401,,,
fka/prompts.chat,True,200,False,,1.0
deepset/prompt-injections,True,200,False,,2.0
open-web-math/open-web-math,True,200,False,,114.0
microsoft/orca-math-word-problems-200k,True,200,False,,1.0
Team-ACE/ToolACE,True,200,False,,1.0
amphion/Emilia-Dataset,,401,,,
mlabonne/open-perfectblend,True,200,False,,0.0
Josephgflowers/Finance-Instruct-500k,True,200,False,,2.0
SWE-bench/SWE-bench_Verified,True,200,False,,1.0
SWE-bench/SWE-smith-trajectories,True,200,False,,24.0
BestWishYsh/OpenS2V-5M,True,200,False,,0.0
common-pile/arxiv_papers_filtered,True,200,True,,10.0
nvidia/Nemotron-Personas-USA,True,200,False,,11.0
allenai/WildChat-4.8M,True,200,False,,86.0
openai/healthbench,True,200,False,,0.0
ASLP-lab/WSC-Train,True,200,False,,0.0
AST-FRI/EnterpriseBench,,401,,,
xiaowu0162/longmemeval-cleaned,True,200,False,,0.0
nebius/SWE-rebench-openhands-trajectories,True,200,False,,1.0
tokyotech-llm/swallow-code-v2,True,200,True,,40.0
openai/ih-challenge,True,200,False,,1.0
google/WaxalNLP,True,200,False,,1256.0
karpathy/tinystories-gpt4-clean,True,200,False,,1.0
langswap/dialogs-ru-emotional-conversations,True,200,False,,1.0
karpathy/climbmix-400b-shuffle,True,200,False,,6543.0
Forgis/FactoryNet,True,200,False,,120.0
nvidia/Retrieval-Synthetic-NVDocs-v1,True,200,False,,1.0
InternScience/ResearchClawBench,True,200,False,,1.0
nvidia/Nemotron-Personas-Korea,True,200,False,,9.0
SALT-NLP/SWE-chat,,401,,,
stady4d-anon/StaDy4D,True,200,False,,4.0
nvidia/PhysicalAI-WorldModel-Synthetic-Digital-Human-Scenes,True,200,False,,0.0
Banaxi-Tech/Deepseek-V4-Reasoning-Code-2500,True,200,False,,1.0
ouou123/Holo360D,True,200,False,,2.0
jumplander/JumpTrace-1K,True,200,False,,1.0
jumplander/JumpVuln-10K,True,200,False,,1.0
jumplander/AIForge-1K-Debug,True,200,False,,0.0
jumplander/AIForge-1K-Review,True,200,False,,0.0
jumplander/AIForge-1K-Security,True,200,False,,0.0
jumplander/AIForge-1K-Architecture,True,200,False,,0.0
Neptune615/Wild-City,True,200,False,,0.0
Fsoft-AIC/RobotDesign1M,True,200,False,,2168.0
LiquidAI/ifstruct-v1.0,True,200,False,,1.0
jingwei-xu-00/eccv2026-cad-challenge-data,True,200,False,,2.0
shreyan35/Project-Axiom-1.0-Opus4.7-Kimi2.6-GLM5.2-Deepseek4-Mythos5-Fable5-Qwen3.7,True,200,False,,0.0
HelioAI/Claude-Fable-5-5500x,True,200,False,,1.0
strickvl/gtmo-military-commissions,True,200,False,,7.0
QuixiAI/QuixiMath-1B,True,200,False,,103.0
YuCrazing1/ClothTransformer-dataset,False,501,,,
jumplander/J6-CFI-HQ-20K,True,200,False,,1.0
Voxel51/VineLiDAR,True,200,False,,1.0
ProCreations/grug-think-v2-10k,True,200,False,,1.0
LeCAR-Lab/Wanda,True,200,False,,1.0
Raymvp12/focusmil-camelyon16,True,200,False,,0.0
Merserk/Krea-2-Turbo-Checkpoint-Format-Benchmark,True,200,False,,1.0
AofaYu71/LatentSkill,True,200,False,,6.0
trannhiem/TranNhiem-Vietnamese-ImageText-Reasoning,True,200,False,,7.0
trannhiem/TranNhiem-Vietnamese-DocumentImage-Reasoning,True,200,False,,2.0
open-alchemy/code-alchemy,True,200,False,,872.0
Crownelius/GPT-5.6-Sol-Luna-Terra-Traces,True,200,False,,1.0
open-thoughts/OpenThoughts-114k,True,200,False,,18.0
Rowan/hellaswag,True,200,False,,3.0
ylecun/mnist,True,200,False,,2.0
ILSVRC/imagenet-1k,,401,,,
mrmoor/cyber-threat-intelligence,True,200,False,,1.0
nbtpj/multi-context-long-answer-dataset,True,200,False,,25.0
tarteel-ai/everyayah,True,200,True,,17.0
lucasmccabe/logiqa,True,200,False,,3.0
nlphuji/flickr30k,True,200,False,,9.0
nguha/legalbench,True,200,False,,322.0
andersonbcdefg/combined_en_wikipedia,True,200,True,,10.0
x1101/nsfw-full,True,200,False,,1.0
mstz/higgs,False,501,,,
databricks/databricks-dolly-15k,True,200,False,,1.0
rubend18/ChatGPT-Jailbreak-Prompts,True,200,False,,1.0
maharshipandya/spotify-tracks-dataset,True,200,False,,1.0
lmsys/mt_bench_human_judgments,True,200,False,,2.0
lmsys/chatbot_arena_conversations,,401,,,
evanarlian/imagenet_1k_resized_256,True,200,False,,58.0
Ichsan2895/alpaca-gpt4-indonesian,True,200,False,,1.0
teknium/openhermes,True,200,False,,1.0
a686d380/h-corpus-2023,False,501,,,
emozilla/Long-Data-Collections-Pretrain-Without-Books,True,200,False,,474.0
HuggingFaceH4/no_robots,True,200,False,,2.0
Gourieff/ReActor,False,501,,,
kimrichies/English-Luganda_Bible_corpus,,401,,,
McAuley-Lab/Amazon-Reviews-2023,False,501,,,
zai-org/LongAlign-10k,True,200,False,,2.0
CohereLabs/aya_dataset,True,200,False,,3.0
ibrahimhamamci/CT-RATE,,401,,,
MedRAG/wikipedia,True,200,True,,10.0
MathLLMs/MathVision,True,200,False,,2.0
internlm/Agent-FLAN,True,200,False,,0.0
ai4privacy/pii-masking-300k,True,200,False,,3.0
allenai/WildChat-1M,True,200,False,,14.0
TIGER-Lab/MMLU-Pro,True,200,False,,2.0
joshuachou/SkinCAP,,401,,,
sarahwei/cyber_MITRE_attack_tactics-and-techniques,True,200,False,,1.0
JailbreakBench/JBB-Behaviors,True,200,False,,3.0
walledai/CyberSecEval,True,200,False,,16.0
yanchaoz/EMNeuron,,500,,,
deepseek-ai/DeepSeek-Prover-V1,True,200,False,,1.0
jackyhate/text-to-image-2M,True,200,True,,10.0
sweatSmile/FinanceQA,,401,,,
polymathic-ai/supernova_explosion_64,,500,,,
eltorio/ROCOv2-radiology,True,200,False,,39.0
PleIAs/common_corpus,True,200,False,,1.0
MohamedRashad/Al-Maktabah-Al-Shamilah,True,200,False,,30.0
HuggingFaceTB/smol-smoltalk,True,200,False,,5.0
unsloth/LaTeX_OCR,True,200,False,,2.0
HuggingFaceTB/finemath,True,200,False,,288.0
defeatbeta/yahoo-finance-data,False,501,,,
opendatalab/OmniDocBench,True,200,False,,1.0
HuggingFaceFW/fineweb-2,True,200,False,,4569.0
bespokelabs/Bespoke-Stratos-17k,True,200,False,,1.0
wasmdashai/LAHJA-API-Data,True,200,False,,1.0
agentica-org/DeepScaleR-Preview-Dataset,True,200,False,,1.0
WenhaoWang/VideoUFO,True,200,False,,93.0
IPEC-COMMUNITY/bridge_orig_lerobot,True,200,False,,0.0
panlr/teochew_wild,,401,,,
BytedTsinghua-SIA/DAPO-Math-17k,True,200,False,,2.0
nvidia/Nemotron-ClimbMix,True,200,True,,10.0
lvhaidong/LAFAN1_Retargeting_Dataset,,500,,,
nvidia/OpenCodeInstruct,True,200,True,,7.0
open-r1/DAPO-Math-17k-Processed,True,200,False,,3.0
zwhe99/DeepMath-103K,True,200,False,,10.0
SWE-bench/SWE-bench,True,200,False,,3.0
TianxingChen/RoboTwin2.0,,500,,,
BioProBench/BioProBench,True,200,False,,0.0
EPDCL/pd-defect,True,200,False,,3.0
yandex/alchemist,True,200,False,,1.0
vhdm/persian-voice-v1,True,200,False,,4.0
miaojiemiao/Anime-2026,True,200,True,,10.0
next-token/clean-PD-16000-books3,True,200,False,,10.0
AlicanKiraz0/Cybersecurity-Dataset-Heimdall-v1.1,True,200,False,,1.0
spatialverse/InteriorGS,,401,,,
aryansai/Hindu-Gods-DB,True,200,False,,1.0
laion/Emolia,True,200,True,,10.0
HumynLabs/medical-prescription-english-audio,True,200,False,,1.0
spatialverse/InteriorAgent,False,501,,,
ariG23498/useful-scripts,,500,,,
HuggingFaceFW/finewiki,True,200,False,,404.0
Bingguang/HardGen,True,200,False,,1.0
open-law-data-thailand/soc-ratchakitcha,True,200,False,,0.0
lgrzybowski/seraphim-drone-detection-dataset,False,501,,,
builddotai/Egocentric-10K,,401,,,
Real-IAD/Real-IAD_Variety,,401,,,
PleIAs/SYNTH,True,200,True,,7.0
NLP-Debater-Project/IBM-Debater-ArgKP,True,200,False,,1.0
allenai/Dolci-Instruct-SFT,True,200,False,,15.0
jumplander/JumpLander-Persian-Forum-mini-Dataset,True,200,False,,1.0
Rapidata/psychology-association-kiki-bouba-etc,True,200,False,,1.0
open-thoughts/OpenThoughts-Agent-v1-SFT,True,200,False,,1.0
alanwgt/fipex-veiculos-brasil,True,200,False,,9.0
nvidia/Nemotron-Agentic-v1,True,200,False,,0.0
Traders-Lab/TroveLedger,True,200,False,,0.0
nvidia/SAGE-10k,True,200,False,,0.0
SII-WANGZJ/Polymarket_data,True,200,False,,6.0
UniParser/OmniScience,,401,,,
ma-xu/fine-t2i,True,200,True,,8.0
tucnguyen/ShareChat,,401,,,
AllTheBacteria/BacCorpus-prot-90,True,200,False,,632.0
