dataset_id,hf_language_tag,num_languages_in_dataset,linguality,modality,license,provenance,publication_link,synthetic_flag,num_rows,retrieval_method,matched_configurations,all_configurations,all_configurations_count
openbmb/DCAD-2000,aaa,2000,multilingual,tabular;text,other,unknown,https://arxiv.org/abs/2502.11546,,,no_precomputed_metadata_available,aaa_Latn,tha_Thai;aze_Latn;arb_Arab;slv_Latn;cat_Latn;fin_Latn;hbs_Latn;ces_Latn;fil_Latn;guj_Gujr;nob_Latn;mal_Mlym;bul_Cyrl;kan_Knda;hin_Deva;tam_Taml;ara_Arab;kaz_Cyrl;sqi_Latn;pan_Guru ...(2262 total),2262
ec5ug/chikhapo,aab,2752,multilingual,,mit,mixed_signals_needs_review,https://arxiv.org/abs/2510.16928,,,no_precomputed_metadata_available,aab_eng,nna_eng;crs_eng;dnr_eng;bys_eng;kmw_eng;ldn_eng;hay_eng;kgp_eng;byr_eng;cub_eng;ruf_eng;ndg_eng;amt_eng;bcq_eng;bmi_eng;gww_eng;bch_eng;gwd_eng;byl_eng;dbg_eng ...(5506 total),5506
ec5ug/chikhapo,aac,2752,multilingual,,mit,mixed_signals_needs_review,https://arxiv.org/abs/2510.16928,,,no_precomputed_metadata_available,aac_eng,nna_eng;crs_eng;dnr_eng;bys_eng;kmw_eng;ldn_eng;hay_eng;kgp_eng;byr_eng;cub_eng;ruf_eng;ndg_eng;amt_eng;bcq_eng;bmi_eng;gww_eng;bch_eng;gwd_eng;byl_eng;dbg_eng ...(5506 total),5506
facebook/omnilingual-asr-corpus,aae,348,multilingual,audio;text,cc-by-4.0,unknown,https://arxiv.org/abs/2511.09690,,,no_precomputed_metadata_available,aae_Latn,default;aae_Latn;aal_Latn;aao_Arab;abn_Latn;abr_Latn;abs_Latn;abv_Arab;acm_Arab;acw_Arab;acx_Arab;adf_Arab;aeb_Arab;aec_Arab;afb_Arab;afo_Latn;ahl_Latn;ahs_Latn;aju_Hebr;ala_Latn ...(349 total),349
Sellopale/omnilingualpaleoi,aae,348,multilingual,audio;text,cc-by-4.0,unknown,https://arxiv.org/abs/2511.09690,,,no_precomputed_metadata_available,aae_Latn,default;aae_Latn;aal_Latn;aao_Arab;abn_Latn;abr_Latn;abs_Latn;abv_Arab;acm_Arab;acw_Arab;acx_Arab;adf_Arab;aeb_Arab;aec_Arab;afb_Arab;afo_Latn;ahl_Latn;ahs_Latn;aju_Hebr;ala_Latn ...(349 total),349
lindonghello/omnilingual-asr-corpus,aae,348,multilingual,audio;text,cc-by-4.0,unknown,https://arxiv.org/abs/2511.09690,,,no_precomputed_metadata_available,aae_Latn,default;aae_Latn;aal_Latn;aao_Arab;abn_Latn;abr_Latn;abs_Latn;abv_Arab;acm_Arab;acw_Arab;acx_Arab;adf_Arab;aeb_Arab;aec_Arab;afb_Arab;afo_Latn;ahl_Latn;ahs_Latn;aju_Hebr;ala_Latn ...(349 total),349
HuggingFaceFW/fineweb-2,aai,1813,multilingual,tabular;text,odc-by,human,https://arxiv.org/abs/2506.20920;https://arxiv.org/abs/2109.07445;https://arxiv.org/abs/2406.17557;https://doi.org/10.57967/hf/3744,False,,no_precomputed_metadata_available,aai_Latn,aai_Latn;aak_Latn;aau_Latn;aaz_Latn;aba_Latn;abi_Latn;abk_Cyrl;abn_Latn;abq_Cyrl;abs_Latn;abt_Latn;abx_Latn;aby_Latn;abz_Latn;aca_Latn;acd_Latn;ace_Latn;acf_Latn;ach_Latn;acm_Arab ...(1870 total),1870
HuggingFaceFW/finepdfs,aai,1810,multilingual,tabular;text,odc-by,unknown,https://arxiv.org/abs/2506.18421;https://arxiv.org/abs/2109.07445,,,no_precomputed_metadata_available,aai_Latn,aai_Latn;aak_Latn;aau_Latn;aaz_Latn;aba_Latn;abk_Cyrl;abq_Cyrl;abs_Latn;acm_Arab;acr_Latn;acu_Latn;ady_Cyrl;adz_Latn;aeb_Arab;aer_Latn;aeu_Latn;aey_Latn;afr_Latn;agd_Latn;agg_Latn ...(1733 total),1733
pei39/Taxi1500-RawData-test,aai,931,multilingual,text,other,unknown,https://arxiv.org/abs/2305.08487,,,no_precomputed_metadata_available,aai_Latn,aai_Latn;aak_Latn;aau_Latn;aaz_Latn;abt_Latn;abx_Latn;aby_Latn;acf_Latn;acr_Latn;acu_Latn;adt_Latn;adz_Latn;aer_Latn;aey_Latn;agd_Latn;agg_Latn;agm_Latn;agn_Latn;agr_Latn;agt_Latn ...(960 total),960
cis-lmu/Taxi1500-RawData,aai,931,multilingual,text,other,unknown,https://arxiv.org/abs/2305.08487,,,no_precomputed_metadata_available,aai_Latn,aai_Latn;aak_Latn;aau_Latn;aaz_Latn;abt_Latn;abx_Latn;aby_Latn;acf_Latn;acr_Latn;acu_Latn;adt_Latn;adz_Latn;aer_Latn;aey_Latn;agd_Latn;agg_Latn;agm_Latn;agn_Latn;agr_Latn;agt_Latn ...(960 total),960
openbmb/DCAD-2000,aai,2000,multilingual,tabular;text,other,unknown,https://arxiv.org/abs/2502.11546,,,no_precomputed_metadata_available,aai_Latn,tha_Thai;aze_Latn;arb_Arab;slv_Latn;cat_Latn;fin_Latn;hbs_Latn;ces_Latn;fil_Latn;guj_Gujr;nob_Latn;mal_Mlym;bul_Cyrl;kan_Knda;hin_Deva;tam_Taml;ara_Arab;kaz_Cyrl;sqi_Latn;pan_Guru ...(2262 total),2262
KefranAbg/finepdfs,aai,1810,multilingual,tabular;text,odc-by,unknown,https://arxiv.org/abs/2506.18421;https://arxiv.org/abs/2109.07445,,,no_precomputed_metadata_available,aai_Latn,aai_Latn;aak_Latn;aau_Latn;aaz_Latn;aba_Latn;abk_Cyrl;abq_Cyrl;abs_Latn;acm_Arab;acr_Latn;acu_Latn;ady_Cyrl;adz_Latn;aeb_Arab;aer_Latn;aeu_Latn;aey_Latn;afr_Latn;agd_Latn;agg_Latn ...(1733 total),1733
