dataset_id,hf_language_tag,num_languages_in_dataset,linguality,modality,license,provenance,publication_link,synthetic_flag,num_rows,retrieval_method,matched_configurations,all_configurations,all_configurations_count
sil-ai/bloom-lm,aaa,422,multilingual,,cc-by-4.0;cc-by-nc-4.0;cc-by-nd-4.0;cc-by-sa-4.0;cc-by-nc-nd-4.0;cc-by-nc-sa-4.0,unknown,,,,,,,
sil-ai/bloom-captioning,aaa,422,multilingual,,cc-by-nc-4.0,unknown,,,,,,,
sil-ai/bloom-vist,aaa,422,multilingual,text,cc-by-4.0;cc-by-nc-4.0;cc-by-nd-4.0;cc-by-sa-4.0;cc-by-nc-nd-4.0;cc-by-nc-sa-4.0,unknown,,,,,,,
lbourdois/language_tags,aaa,7909,multilingual,text,cc-by-4.0,human,,False,,,,language,1
lbourdois/panlex,aaa,6152,multilingual,text,cc0-1.0,unknown,,,,,,panlex,1
espnet/mms_ulab_v2,aaa,4023,multilingual,audio;text,cc-by-nc-sa-4.0,unknown,https://arxiv.org/abs/2305.13516;https://arxiv.org/abs/2407.00837,,,,,default,1
amine-khelif/mms_ulab_v2,aaa,4023,multilingual,audio;text,cc-by-nc-sa-4.0,unknown,https://arxiv.org/abs/2305.13516;https://arxiv.org/abs/2407.00837,,,,,default,1
coml/mmsulab,aaa,4023,multilingual,audio;text,cc-by-nc-sa-4.0,unknown,https://arxiv.org/abs/2603.18612,,,,,default;excluded;all,3
sundram1996/mms_ulab_v2,aaa,4023,multilingual,audio;text,cc-by-nc-sa-4.0,unknown,https://arxiv.org/abs/2305.13516;https://arxiv.org/abs/2407.00837,,,,,default,1
lbourdois/language_tags,aab,7909,multilingual,text,cc-by-4.0,human,,False,,,,language,1
lbourdois/panlex,aab,6152,multilingual,text,cc0-1.0,unknown,,,,,,panlex,1
espnet/mms_ulab_v2,aab,4023,multilingual,audio;text,cc-by-nc-sa-4.0,unknown,https://arxiv.org/abs/2305.13516;https://arxiv.org/abs/2407.00837,,,,,default,1
amine-khelif/mms_ulab_v2,aab,4023,multilingual,audio;text,cc-by-nc-sa-4.0,unknown,https://arxiv.org/abs/2305.13516;https://arxiv.org/abs/2407.00837,,,,,default,1
coml/mmsulab,aab,4023,multilingual,audio;text,cc-by-nc-sa-4.0,unknown,https://arxiv.org/abs/2603.18612,,,,,default;excluded;all,3
sundram1996/mms_ulab_v2,aab,4023,multilingual,audio;text,cc-by-nc-sa-4.0,unknown,https://arxiv.org/abs/2305.13516;https://arxiv.org/abs/2407.00837,,,,,default,1
lbourdois/language_tags,aac,7909,multilingual,text,cc-by-4.0,human,,False,,,,language,1
lbourdois/panlex,aac,6152,multilingual,text,cc0-1.0,unknown,,,,,,panlex,1
espnet/mms_ulab_v2,aac,4023,multilingual,audio;text,cc-by-nc-sa-4.0,unknown,https://arxiv.org/abs/2305.13516;https://arxiv.org/abs/2407.00837,,,,,default,1
amine-khelif/mms_ulab_v2,aac,4023,multilingual,audio;text,cc-by-nc-sa-4.0,unknown,https://arxiv.org/abs/2305.13516;https://arxiv.org/abs/2407.00837,,,,,default,1
coml/mmsulab,aac,4023,multilingual,audio;text,cc-by-nc-sa-4.0,unknown,https://arxiv.org/abs/2603.18612,,,,,default;excluded;all,3
sundram1996/mms_ulab_v2,aac,4023,multilingual,audio;text,cc-by-nc-sa-4.0,unknown,https://arxiv.org/abs/2305.13516;https://arxiv.org/abs/2407.00837,,,,,default,1
lbourdois/language_tags,aad,7909,multilingual,text,cc-by-4.0,human,,False,,,,language,1
lbourdois/panlex,aad,6152,multilingual,text,cc0-1.0,unknown,,,,,,panlex,1
espnet/mms_ulab_v2,aad,4023,multilingual,audio;text,cc-by-nc-sa-4.0,unknown,https://arxiv.org/abs/2305.13516;https://arxiv.org/abs/2407.00837,,,,,default,1
amine-khelif/mms_ulab_v2,aad,4023,multilingual,audio;text,cc-by-nc-sa-4.0,unknown,https://arxiv.org/abs/2305.13516;https://arxiv.org/abs/2407.00837,,,,,default,1
coml/mmsulab,aad,4023,multilingual,audio;text,cc-by-nc-sa-4.0,unknown,https://arxiv.org/abs/2603.18612,,,,,default;excluded;all,3
sundram1996/mms_ulab_v2,aad,4023,multilingual,audio;text,cc-by-nc-sa-4.0,unknown,https://arxiv.org/abs/2305.13516;https://arxiv.org/abs/2407.00837,,,,,default,1
lbourdois/language_tags,aae,7909,multilingual,text,cc-by-4.0,human,,False,,,,language,1
lbourdois/panlex,aae,6152,multilingual,text,cc0-1.0,unknown,,,,,,panlex,1
bible-nlp/biblenlp-corpus,aai,861,multilingual,,cc-by-4.0;other,unknown,,,,,,,
lbourdois/language_tags,aai,7909,multilingual,text,cc-by-4.0,human,,False,,,,language,1
lbourdois/panlex,aai,6152,multilingual,text,cc0-1.0,unknown,,,,,,panlex,1
davidstap/biblenlp-corpus-mmteb,aai,861,multilingual,text,cc-by-4.0;other,unknown,,,,,,eng-aai;eng-aak;eng-aau;eng-aaz;eng-abt;eng-abx;eng-aby;eng-acf;eng-acr;eng-acu;eng-adz;eng-aer;eng-aey;eng-agd;eng-agg;eng-agm;eng-agn;eng-agr;eng-agt;eng-agu ...(828 total),828
